name_product,price_product,sold_product,discount_product,link_product
"Tủ lạnh mini Kemin 16L
Đã bán 49",2.188.000₫,Đã bán 49,-7%,https://tka.tiki.vn/pixel/pixel?data=DqZDcKaf2tZc28ef6M6eGb7o5fmgSqStqGH161QxP4PvwCCLLO7eOrmZzVfeh3v0T7QkehGW1-PBD2VIgxcYFOLozfzB1fT4gvYmKd9cStDg1Wfyx1KoTqL7eIl5Oe6EjKCCh2UqOJccRyXiv2_Dz1oaPBgDLVeIuvCFPUDA3c5PcO2p79d6-awktTSRYoWKFNG-WfsnbrWFfUXoougOd12NesiyNYTuJfb7Ey3YYvld8uKNO1qYbraAMrekepTT7tvSDcG1jEaqAVPicsJMOJtVlGjFvViuoSmhDIz4aEmFrxaHFJA0-3skjZb4oVoMR7j_IkWntItHclD3-eAZeAOs18A0WP5_sie0uMgiZCsTKwcBa_sffceX3mk_fbwTuso3lqdPzINLs_4JjEW80XbEYIBKvJQ3DWTJdSpCcQxGf7JMXxaRabplwGXoa9Tv83dozWFHzgeXfpIqdov2NCWkCDfUWAfZ9cQUl6EPj5Pd7Cn-ao0XZ6PjSzNYS2GDjt-yOk68UPnHfl_1P-P_fw1Ui7hhVTUrEUwaqIg_ULZEI7AbmIG3Yn5zyT-OUMzlplZjvxOd17C6TGGZYxtuaU0xDwYCxiK2CxwCitkN0vIgVab-jXLUr8HFqo9N3yCoWHHxOy2usQkvldXuuHfVPW87qWfP8Z1aE-3G6UgROH9gXm9punn7viU1uuz7imyrOdTHxRTM-EF_l1aZ-N8TXeZCCrorA0FNH3gNUxlRWmbXBx5-ikqfcOS5asaOU1HW7ndu_jFzn0ZEuhJM8UZA3e30-0xUmUqj0QEZ246rLKIiU3MVZV7LlMzm6GKEpO7JXG9PeWEZAQVvOyW8uH9yXiHPJa-n21wbpYOUj5q2UDcY14xoJmcc0VYoGOvxmKwn_bv7G8__kWAdpw1oB3k4Rk-NmO_HIfN4mCwLGuFMR_d74zmAShAjcjt3avOCcg9OFa_kERtajY87g_6ID2ELmLoiOCvmnT1uG8JloTgjZ8VyvBl74eL4uy5FeKF0dCGh3trNYM07P9FsU5tq5Kfj38vG7P_l5g1LbofPngYk_OIq2Tq2-P9z5Z8&reqid=x46HCsJRz82Nfcvb&type=CLICK&pos=1
"Tủ lạnh mini KEMIN 32L Chính Hãng - Chỉnh nhiệt có ngăn đá
Đã bán 28",3.170.000₫,Đã bán 28,-15%,https://tka.tiki.vn/pixel/pixel?data=0Yc1jz7SXnHsSJpVEngvWYB5HtCbI5l5GSi59zATu55E0UpsB3fWQn19qEmDs66q8YCU_rn5xsHUWzSOGM8O4-7wWVXVJv_YsqCIgtm4Ob-6Egt7A2pGJa0q__J1onyCIy2kPf50h3h18y6q-F37odD_Y7PP9LIckCIBabjJUhqEx0roksH7jYpXe-EEWX2mTuKzSU5MATYgDxD3QmAD_eiOpNFHK3JqiHn-lFPb74PHYCkivkbSEFoxm9LQ1iovtgLW5KE8rEY5gXoYxSVbu200WHiYSYGJoIArjHtBRuI5IjWtVu-Nr300DkEiaxSFx0TQJv9SzLep2AhCXEahulywZcgPhgPHjqhe1t98Tz_psDq1T9heMEZzRVienvjiSw_CVPz30FDVO8vTGEIp5W0PSCbvcvxIZTIE_YWq4h3B7zjbNHkj5Cykfgjcx5tzlShroRBXQBTgRoTiTuvFzP13C6CgLFnpIrSyKlCNe9nwCsQD_mTPJUcnHqnslP5piqr_lLbvsGGvnlg8eZA9GGYIbsKTk9_Sa4aQAC1CaI78rD7byx5F6YYPU6mBvSXvlv7YdjHUpv1B43yIZrtCu-4aGgVl8_cWClL_-qL0lZQPSkxzI_cisV3BuQ7wbtFOZJvF46usHECkOektI4yUsSOhugTEEuJli9l0Obg0_N_YOLRL99YYM7HxScEqD0VgXMUQG29_mnvpOFLM3og131MXue9Qd86Mq-OgQyWm1X2zjtIdDOJhf2Z4FDi1pA6oj0S45A7ZQ_qxtCDvv2yA7qmE9topNJu5uRGuR-tkrsAlkwHB-XZGFdICujRMiIsUDW3Tr5y9z_ZJIsXSzFhbsBYpSH0reQNdMBekZUfGxhfzOXRP-tPwe8fn9uPji3Q3sfNvp-NtV-tmJ6uDGC6-z53RgcoemWpbw34X4KKE23T8SOEeH4NnTsxI2a8BDvHscjnVJhwpx5kplnBVQYk30sOwn0U-_Qym9t0XPJA8S62FTtNnDMOrshTCjdgi53yiq10DHF2TOnvgTHWm7HJAsOBByrVxFRAasuEaJ1gPE2j5pfIYKghdDI1zXLALOYQGUutxOVQMoWhlA2ODiUPTgwqnQiAjtfjoYVdA&reqid=x46HCsJRz82Nfcvb&type=CLICK&pos=2
"Tủ lạnh mini Kemin 25L
Đã bán 25",2.992.500₫,Đã bán 25,-5%,https://tka.tiki.vn/pixel/pixel?data=3MyrjTcmwrrNvHEHVTd5iAyDd9tPWfSu-K8oo1DNm_QqCPtKkNwnRpWn_fNsIeaL2njtI49mV5sDuXZsFV_w5u8jRBGtM36-26AHwzwo-yVhAj6IhK4UsbhvW5r6yS2E3F67Z8uEDg1bh5yC_tADJIcJ-BSTbF5HI2l-M1_rg1csI1egVUBzcVcs1HgYkeQDvctoxnh1KQn7EQvBVnbPFWSLrMH8F622487k3-1gu8OErXH-1UT55yOz5jMSGwA-pM-IO6Vo0s7StJtDM_QWmoYxpENZ_nsnkHnG8KarbWQmQ5g9AzZ50bx3hgZ5y9caKZhegwGIXouv4Xq4JhEtY7nSr92i5yMGgyQPi60i51r3coLlkTg5UP51lhACs-wyfxJzlVsASSeET5jEOP_kSM9qgeg4T-pFgwr_NTaafPJRnTvO8e8yfHDit4pxvXzGFhYxGdLeWso7QHFtB1ixpTFCsI0H1-bVstBddrR7P7_pulpNqWESqtw4oD_XTs1weUDyqhlSPZMrF930mnbsFMByJGdpsAN7dUEoNDUjtra1F5awwxISXEnt6rU7pOWg3bxEjgqeJDmoh0iha8UMd5Yg2jqgbu7r9yBXXepJ7C81Rh4NwUGLX1LDinZUT63yZyHU6Ybbni-dFWFV_p7j82vlfzKHL_ROVxJ5qOQh0hnufEwNbhW-zOtS2GMZZdmqf1XtPSFW1ogC812p-TKBTOEc-eBW1vwKB-2fFHnHIfCPJHXt_eQtklHnD7HN_YP0KICtwjfRojcuKS6u0wm_keYd3kt23pDfhgxZZseVWrszqD2hbKI_ubK_86ju-R05mWd-kuTQ0Mc80Xhul41nIaCjroalFPPN7Et37zAGCWVWzZgQDEsG_kg-QOt1b2d9NlOSExrrnmko-b55PK9ANP4K6mWRSJVEcJ52vcs1gay06WB51pNrKUZMvcmzprPMpfJ9jyyBz06ZmrRC3mXHoQ7vDVMgBzBxTZOsAzOtSgy8EJARok7uhEYIGXyvxGNGMJuUGfBsg4ImdjWrdwldLl_xSeFHteDyDQPD8WqkMhdXWwATkV6DO5w&reqid=x46HCsJRz82Nfcvb&type=CLICK&pos=3
"Tủ lạnh mini Kemin Chính hãng 10L
Đã bán 128",1.688.000₫,Đã bán 128,-25%,https://tka.tiki.vn/pixel/pixel?data=4tJESZ0MBAq3OGvZrDy7WjQGWjCbLwEGKbke20_Zh1G87wKofLOcmm1IYgEsl1MOt_IMwCM8FFsq_hkKMUEPkEyhp_HRHR_A9t8g8thGBxPNmghgRHiutezcv9HDsP-nG0XpOGc2Y3haSxHNZCUw7mC3U0EB9lBkVZU7_g0RfKw0Sn1rdTMIZvarhY7s8dskXEOF_-U3HAx9XsOPuUmChye9z5PYUVQ44-QSLHkEqUUHF5KrKHLURUrtPwctWUA3Zve79lzZ0rHFc8Qxc1P5309NfO_zdyH-R82Rs4c2Pn6G14yE-5lr7H9HKAJSRNEcydHYGvWkYn4lJT0Q8pvG2-P0nH_fYDQJM6evniNeQ_0F1YPMACz8aIJM6ZPzxSXYfvVRAfn90aA4_mGheeXs6Z3SaRMFbCIbHgH7Vqv-tafSHZ-ftPFKc3WrAjbSF8VqKrHD9Lbkwte8PX79er4y2zCvDeCUz5VX0v341nc-SI-ZsHOUvCzJl_-pGh1ivV2YfURggy5AOvlAQ8XF_MPjN7LMiwCghKcpOE0ovimTVTc9tJuDmLDazifflZWax71qBtbNayZSpNUzIkNu2rxJ9tHyglS0n1CEQBVGy0-A6KylR4kXFcIgrQf5E0omeH9d_k7HhJu-7mHHC3tnVcF5gnqM0o5JANLgKR5AKC8sTUAnLoyWqUhPRM-XsJu_61uQGmjKkMlXlyA0Aukg0d7KBP8ZHHnAlXYirEq9pl8UjxWLBF4nP-JSeLfIyctuka2ASykQUM58SdJazx-ge198ZR2uxfl7UzDyhYypQ32V2HrQncLa1PRzaQ8YXoCZIqWrhi1xHcf7GgaLOiN5dORMPSKv7j88Jqw2SNgF71ko1w7N_-LG5O4HTNBMeV52--ctXLdD2Z2HOO1qS3bKEDOtOsCMVsqOsfpYcDYNdUCqkwBRvrri21vrgEwoEz1VCsZ88LK5SEmfQPf83TC3VTeYinEH-lADOoBGa1dr98sY7M9xfgyyopxa5HmOi6L95CDi673nZUQbiL8JxmIcAf4i0by_sefFDUGmCJNdoTK8xAKbbNAgHUiasjDf9J0Y5IhqUkyaaw&reqid=x46HCsJRz82Nfcvb&type=CLICK&pos=4
"Tủ lạnh mini Kemin K4 Angry Bear Chính Hãng 4L - Dùng ở nhà và ô tô - Nóng lạnh 2 chiều
Đã bán 1",1.045.000₫,Đã bán 1,-5%,https://tka.tiki.vn/pixel/pixel?data=grOYtDHNI-p-i7D9wlbYnsvK3dqGtyqcNmkFSaVq1G_enmdalqGfMr_pS28iLH-elotB8N88QrHvbeV6joRGhDCejfooOx-9HtCm_50I4bfDs2zXigKNs16N_XtGzksZQbtDahKW8XF2lQenB5c0cZiniJFAYKea1FKAvYTC82cqo9-yqQz2_BOZOrKDMILAtodjfzPthgsXTNDMkXkrdEMzdT7RRz3cjFqD8lKL4mdjQaDf2YOIDd8kjoiwbyC7IFMJGwYk-9kmC1ARWC8LD2qsAWRDIf2_lzDY8puEXerHmcRhc_1tVYhZWtEKAzitmAhn3oijvsQQarUZLHidF7YEBBpJWlNTw5l0_vukWuzSkrF_qtnihhe70B1Bf3Rmh4hqg8mcVfTFmAInM19xdTTJD0guKa1HKxS59dzCUW5dwu9Wvfulq3ArIYidm2A_nAWz42xTRvAvH9Xi-X6FPV7u22OjKz6-uMpaaX1z8N5s-Yu52OSzQlcI4dhLWtnUKHCuK-dPClfXO9hgDQ-ahbZRc74NSvC4Mo5Bxbvwyv6ZdaZLnz4AWJVs8wZSijaCsddyfv_i2_hI2sDkHAPORvEB_-MuLPJDh-UswjOoz8UOy7pHzuMrQr4u-_CrGhBJi3cMKzulKAiz6GAOYvkiLZmE-newPNr1QX3fJCyS8wEsnpY-vu3KCodavbAY7igeL0Xv1bYO4YFBpI8Wh4QrLMRlmz5wCAGfuJT8-SLwHUyZQp0YVwybc3a1cM7COpbQM6fmoV5AglSJVUxRzub_jQm1i56sv66kCaORtNmg3T87wiXgGpIo_zqpXyc3HrRiZFbZ6TutMgEptWCo8RKa_1u8RatlpZBTNZW4aG5TA-iyxntiR3bgZA75z4GchKPKCMn0RmTmHPbxI12RDC41JtynM0LRBbhcwUsj-S1R_lJDV-VcCym6l0xllknhL1UaoOZUd1eGed7TpJlaX9Nop-kOAfmpVKoLLoJCsJVcJ7AN-Oc3MltsBFc1Zmao8H_8c5aZMBThQCb5q8wj1VxliDiszvCmrpHPDtOfx1ghJ_riDP5gypvakZ-KgxfRRyNPlf_W77ghiJwi_XRyKCIuhW-ffDgIP99tD-TZ3mEEwUoymOIgV1IdRgK5Xw&reqid=x46HCsJRz82Nfcvb&type=CLICK&pos=5
"Tủ Lạnh Toshiba Inverter 511 Lít GR-RF610WE-PMV(37)-SG - Hàng chính hãng
Đã bán 1",17.080.000₫,Đã bán 1,-41%,https://tiki.vn/tu-lanh-toshiba-inverter-511-lit-gr-rf610we-pmv-37-sg-hang-chinh-hang-p55515177.html?spid=126676604
Tủ Lạnh Samsung Inverter 647 lít RS62R5001B4/SV,17.700.000₫,,-33%,https://tiki.vn/tu-lanh-inverter-samsung-rs62r5001b4-sv-647l-hang-chinh-hang-p14143226.html?spid=126676573
"Tủ lạnh mini KEMIN 32L Chính Hãng - Chỉnh nhiệt có ngăn đá
Đã bán 28",3.170.000₫,Đã bán 28,-15%,https://tiki.vn/tu-lanh-mini-kemin-32l-chinh-hang-chinh-nhiet-co-ngan-da-p171574649.html?spid=171574651
"Tủ lạnh mini 4L (Dùng cả trên oto xe hơi và trong nhà) - KEMI
Đã bán 20",920.000₫,Đã bán 20,-0%,https://tiki.vn/tu-lanh-mini-4l-dung-ca-tren-oto-xe-hoi-va-trong-nha-kemi-p108642513.html?spid=108642514
"Tủ lạnh mini 2 chế độ nóng lạnh 10 lít
Đã bán 15",949.000₫,Đã bán 15,-0%,https://tiki.vn/tu-lanh-mini-2-che-do-nong-lanh-10-lit-p26487804.html?spid=26487805
