name_product,price_product,sold_product,discount_product,link_product
"Ví Đựng Thẻ ATM Cao Cấp Slim CITIZEN, Da Bò Tự Nhiên Cao Cấp, Da Thuộc Thảo Mộc, Nhập Khẩu Từ Châu Âu, Nhỏ Gọn - Hiện Đại - Chuyên Nghiệp, Đựng Tiền, Thẻ Ngân Hàng, Card Danh Thiếp - Hàng Chính Hãng SAIGIO
Đã bán 1",2.099.000₫,Đã bán 1,-0%,https://tka.tiki.vn/pixel/pixel?data=yaGsIznJz_rfrB9PO10hoIJMWAGhTfFNT3ZRxEZaG3ok326C0LGhUzrGFQ3YxjMqbGqpNSOV1-3CvAqR5oeRkfEubpKrmRPMRr4z-vYFwt6bTpUevDatHYiCxGNe6SxcHACZDzNRkkXOsIaeWaq_RM85SoP24Yxy3IPcqTzPSmloMBEa7b1nhLCmj1roD8-ZnNt0PL1FkH68YEBZn0OMvREcS-qG9DjwfJq2lwwfmXbxQThxvM_VMAnGAFqyNMdtgtR0M5YM0uBQyzKxO-Mbpd84qPzovktNkkjdJ1GGJmbDtwXCv62bXdDwCTZAsrThbaGEPW66Xfos-K-yQReTmkyYPCc0gKylhODjCgtraqrV77hL-VwssjFGI-vfF7Lid5SDSF4R8zAxgujZcj-sOoZEVhpdHaiBieUlvjs-Lm1Fzdleoc79FBV_XP1wFpcX-7KFUi3UiadRBDtlkdpRZBD8NyN0UBBotmnLshjyWDE4lWObcbz7jOy5fAqAwOGQH7KZdFeKCOBtodyGsyARVMxj-sUPzqHa8wf33qU5qxw8tL0MaQJ5kEyXuT8l-xeXYL98tq4SzK_5vzb8kAis5If92xFvASWm8OhBnHrsnGDygmQD9aA0394rdGXpqc2icloCnx0wK7D77FKSzcsran7gsmxQ2gsc6cNHGp7YrZw-nWFHfxgSpfssfhVcg3zDVomNnERMS_RY0U1Z9vTnTt604fiw1ZI3O6oewZN69-hEqvkVPFGW3A6crJKQqtv94qcgMM8KZpCdN_tTKYV33z-5KCTyN7gJdVLaqJT04W2BnselYxpFziWjxOO6Cl8_GxUXlx0Y_voxTUBTCWur4K_s8IlN8jEgcG55DbdVACBUVm3QgQsraEvoSuT9xyUuKRhtY3M1uBykua2OcjKNCgF6kzEopJlXFO88IveW1XWXAVuHUvNZjgdf6JwiQ8y-bPJSksNAlSjFtYKqhTkycelaumWrvuDNQp58v8BkYuGmxQfljcQAD_0FUGmeXaKBh6TLZZNtZS__jmJY2tVWsUklsS2e5TQKtfxlh6quFNnG3EZHJg9wLtX23LLv2pxDxNE6h2PojL8yXf1OcRFrvkmyNB7Q5VFVi_wqh9Kg7PeGUr7HUG2hoTDtfLXsx14wfX1sig0u_0SWZPXHhaLN29AqO9_6zqIOxKI08Lna5IQa5-opabkRkq3Dqnmj4bx4cW8fMsYGXqlZPhZGRJ4TGMYl1-oJEh9jBmexidut4oEdSKdxQGTIrRDrIjG16RjXD8z7Yu1El0sQFOkqSO0RObzdBwKYwhWU58c&reqid=L1u8DsPMFh5WENQC&type=CLICK&pos=1
"Ví Da Bò Cầm Tay Dáng Dài Thời Trang cao cấp Cho Nữ phong cách mới
Đã bán 11",513.000₫,Đã bán 11,-10%,https://tka.tiki.vn/pixel/pixel?data=zH9hC9FQISXF8HkA4MuMc_OxNkw-hFf0L5BzzRrLdyLodCzqYOyPT7FqrdCfi_f4RWKmrcf9I7lMiAyEzPXLI82ftUlGUpX8KJe1TpjE0yJ08r4cqW3eq-TqlwGUTXgskxAxvICCC_DMbpOcYfny22UjM2wNkdfN8bR2GLxtANGFXScXVzdQ8nCts0IiJujTFccS6_S9246oYC2t6-lDvZ-VsMTJGpNoauycq_qnKPEuwTGadxh95uBTY0GEcBy4vzveDVIMelSkSFx5H6WO47grv6l6bz36BL7uqd86xXlwjXxl9P0ZqQDITql4i4NbgyWAK7J1_WF1wlczXUFF4Lw75kTUBhqMjxvieeGZb3oZrg7omyBoFR_216-v-Yj7yeLFknLPncJj2SXwEzLTNDUhJXYGTI0pfxEvmXlEEN2ZDn460B2SxQAgD0oq3cXhjNFPWXYb6ZBjURKQx-W9wS8rU5eKDYgU1sm4KYVDZn6jPPNf146UhggE4bFLTjH6B3HM_OHmYXSnA4Aa7bAFYXHpADvrNN0FKMIn-AubgmROwgc_vDBqypAILOWg-C8610qChfw1ECLG1Dg4NtFkYG1i4_SscNywRx6yIW625oXJNzmxvU3P0LptrI3F_bCd6672_HSXS_56Js8CHI5p3U0OUKxkskffZqmr62IDjOshqE5aAHt0hSpAk20hkkH5Hi5fdFgOCwxSatDrkW8-6K_vlfMMZXehF9ig_cSAt6mELaHxQRJ4jy3gA5scE_RtRGEsy215972V99UF69KIT8f307aAqUDoFhsFnnXP9voNCGosrPp1jvOA87-k9zuPYwRR5qwbPbQcna3aUoURsze2PQx4DmUa1DKUruGoA71JjN8NFhDPcwI6tr08608Bsn4C-bXIYUFT4s5ZuRDj8iV01QPBxwDSpCXizaNxMCKqPy6kkjLR7dIeZeIbppUoZzUwlc-xVpMBazoVgY9jXDMJox683WbEyzQf4DUgO7M-XC2MfnEIm1sZvhmHeB2NAJGGV2RdeF-c28ZUdB6MzXLHXpIepSVPFvkCCx65EaCbo8LzAGB7CEttqNVoUS0YXZ5p21ON_htYp7vM7cFRu7dgPTUbvo_vaV2kz3-C98Selt-nq3K9UTr8LlXG3Yh60kwu&reqid=L1u8DsPMFh5WENQC&type=CLICK&pos=2
"Ví nữ 100% da bò thật cao cấp phong cách mới
Đã bán 1",423.000₫,Đã bán 1,-10%,https://tka.tiki.vn/pixel/pixel?data=ygyyalXsm-2CMO_eEtT1OOp3QiR1u6nOyeHiWq20oe05_I8rREuhBvdJ42o1AXYZDWnLZHuVyCcobitjehgA2LfFWtq--H4xteBTcpDJ4xLJyzYuY_FHJENFxvl6wWelb-nebXqwt2FcGNueJR7GL3gJ4SZlN7iig4AbvZbSPZyOIqPa28Vz3xvta70BLXzz7EYmFH6Skqd_Lr5j-9AV6p_ZFYy7E26IWK7jaKeUUQf9Quw39ePdRt8ULFBC1hoIxmnEH6uUqc3ePeTOplBc1OC0mBhsRriHcDeNE7vld-BG4Ycbs06BjsHXYl4ig405TcaV6ob8iSdKMAN-dSt_LRmivmm1A2ZQP1l9cN0Cy5EhZ0_X03ceNYzh5MNTHFfOeTo8sr39fX-hXPJ0hs2jcZT3AfBNbhAaZ3j-MHMvCLP8JrSrXCS8MjBike1pdfZpDffD_in28f2ihp7L-lR7kGB16-_NL5pb_qbOkK_V3KcwIJOYOb89GKGyPQwJpJ9vnw4gclMHFU0Jsh9OtFI78bDEOmMHHPBmvec6zqjsjaeO6eDKaDd1YC8NMA-MOEeWJUrK70qLydJ84StLba0SQjPg_khClIfv6VzVZtgwHF9dVp63eLAf6do0PCwfNK9E18HFg63v7bqYZQpaGVIE9Cg49ue_z14ATOA4Bp5a9loBQP9uDfEfb2gfmtgjfLOnAkoOE7CFQTI1NcwCJWODhFynwT8W_g1hEG-5xCGlMMjOq0cxjsh52mHQJuv5W8uV7KLLuExEDth325B4AmDTcMmRMEhB24WODRiORYi8-LHQ7CxcNCwg7Ls5cUCAHvoCl95PB7tqGUxaKKbKr0LEC91pZB-GtE0z0ZVzaY62L7Fpf-BKnGimeuUsvRIE87_tOKrV_uHKwv-6Dox-Sb-jzqiLKjN7NWX_rHq5865Ux7LxG0zo4cZd3UF-5XDs2lyv5ydLMC1rlbBqWPKt9bx7anN4ukBgN_ThthDdYy7TJTZYpLT34s-Wlr-Q2ZzKn65lx61E_JPQeiC3BI7_TBoT5TK6LjzwVhLO7cCNW81pPuL1eSwI3_ZozaAiEVMUqU0UmgtkbNvpYK0iEZ2NfmDJxfykJLwk0QhcAcHffL4&reqid=L1u8DsPMFh5WENQC&type=CLICK&pos=3
"Ví Nữ Đựng Thẻ ATM Nhỏ Gọn SUPPLE, Da Đà Điểu Tự Nhiên Mềm Mại, Chống Xước - Chống Nhăn Tốt, Thiết Kế Hiện Đại, Ngăn Súp Lê Rộng, Đựng Được Nhiều Thẻ Ngân Hàng, Card Danh Thiếp, Căn Cước Công Dân, Dáng Đứng - Gập 2 - Hàng Chính Hãng SAIGIO",680.000₫,,-3%,https://tka.tiki.vn/pixel/pixel?data=eC8wFGhesfO8P26ViBDA3PnCe8e9WqYTsdR82a0IOluoaLdjb8njq2CuKw7fRWT3JZLc7Dr9TT4beglzznvWQ0kS1c-bkdEWGWMZQLneXNLJtF3j-S7JKm4Kes_aoRQFn30nAsDbNxYGu23aI_WyLwjiOW8dSWX-fm2C7fBDqf0KafNKXwO7BKI9-GhtA9TWoPNH54AT1SwSK2BHBLrQbblDP2WZyhKwiyh1jBsssuJQskk6BKaFZjm2InJ_zm5vPWvi0TEC18MUDnB3ugQO1181sgiTynK6pi5ZZxEIwgNgM5_hRYUx3j-1MAd5gnzCFlZyvC3Isvh8M8s6YO_rZsD5ylKxgTXq9yNZQK2gQGn4Gh8Yip2TRRARjzk-3Ce39OtVMCuifQTLCEWDuEOZH7OlQdUK2rJ25TrwRD_1FUK2rNlavKqUFg76F0cax82eg-H82dkPHXrR3gWzip5-2RuvpUugsHvcaykLS-AxzbXqf05LgjWc9aNxHSaKo0rfgAtGr-Idal6YJXoVUwkqZs1nQ3wqL9MH8zyMyS5vPQSJDgA0sLbix-wq9RfaA3W9tw9tMYsWpSe_7coFEnVlQan4Lr4v2YThhPs-uqH4wmY2da5G_jRlCXhiq-obUtEYec-3qMQC5uULoYygjHG__d-UDNBitOWfUQXnUAr1kG819eJGfPcIw0kr3NWmVZIecg0kA4M8KXKi5dNznz5eKANng8SesSm_u990fqKX1H2W0pysNRYUe9Enh58AyKVHANChnyBou0UVP2jxwRlEU6nM7--jhF9ZaX3HJafJOj1Ft78GnTTsRWt7fY_MDmhM0cLx48sd2A051EODGW5lc-VY62oLGdJvDDGUTH7NS5Fi1tlV1fO-4UOE85ci7tSmQGh3mI2Kh3G7Go1USmATb4gxjBO6qK2syHxOgtU-ol0zDK07DGV8lB9c3Fos2eS1_N-hOEuJn100Y-sh7bmp9l-isXGm6bNHPxdMYwL4a8gUygdyYeBON91aHWrAVP7vSXGoUeGkwNy2__v5wba4JuJTxmZVwirSItjCEG-B1r5hgBlO2rLyjbjlafLJqNv4pBMWnVe6NQSAca20ii0k4ByKQFUhaoz4FVX8mV2U1uyKCCaRx9MRN3Wtvt1_nrkQAjh8yTcOIdDtNkHqJ4A5MDBQqJFJ_wxBr-pvGTfmTvGBIiKy4u51LzhLPszmX2Xj52CdCleTm3WRD22eC7089th0WuFgL43fm3OghWrvhnlL5MigK0g1ATX3Hjfs8jas4t64Wm6vkNW2JBI2-tkrKWZ1_U4neIust1L4WULGZdIgnyP5sqtvpxHHXLrLuHOnv8bYIE7cOXELzHbQvO3oSXl8&reqid=L1u8DsPMFh5WENQC&type=CLICK&pos=4
"Ví nữ 100% da thật cao cấp phong cách mới
Đã bán 17",405.000₫,Đã bán 17,-10%,https://tka.tiki.vn/pixel/pixel?data=DSXOhd8cGg15yz2xgpJIGXJk1poI-4wMXQTMAcS9x_PPt1dSF0lbpeJQtx_Gzo66AsNmiWqcJDXx5d_4az9NAuC2AWrONHaGPYhNO208WqmmqOKbMMp9KfjY9pqQGEvcR2a2lu2gLVGzjdjmGXyYLeYY-XbK2y1WjS6jjlk2o5Px8-11-XsNBN_NAzFUGxVBwFsrt11gp80XzpehKOqQ_0yj2rzAEt7bs4QUBq8QASRGyTYyPG1qcJ_YgvHea534-_CI6BaGD29Qufsty_RoHWOMWYqLVay6Zx4k9cIDeS6ULffDbTM3Z-ydCeCyoFNc2pu07Tb6PoQGWQchqZuRGHnuL9FfUsaMaRU7DDn0YUF-7S4UJ7JSxUmBo7Z8PT_35pIZlKsWNF_bfzpXmcF7yTE9uvYyleAXNvSbS8SVVaRkMYJN26FZ-usDoyMKjRFtzeDOAdaEwc5P-sTh79HszHFL5hWrv9EVEiWIfB_MPyxR_TxcHM7816PvpblLbYuZ0PKqQez2cFKqUTfrPw56Qvleb79hTQpQKZu7DF2UsNPfW5BQM3Ky1kfp3Fb6ah5PFZJvj0xoZ7fOxV0LJ2uCwFfdHxNGNA5SEBJvrXOxCmy3K9S5UBgyZ3aHp0xC-acN7t3yBEJc1Y9gg0XBBxUSHX69TLbfZ-iTzmA2PHbN5mNKIxHeIOF9z3vunRA3mBM8UyepfmOCDayG2AaCTdpcj_rja0CYIRGbiHckuK1k7kU75xTTt0E2Z64-tIuP96ATA_mOJq60j4RzAbFbZ9jPAgfTJBzZxLPYPgN4J4ro_MZ5IJ6M8Gh7KfnIqPPW3qBl4-RR8M0y6Y8mX8rE6xsgUPH9pOOe8FIvRYmLTdlahpzcyjiiU4YN_7qSXX9mGKncn7L11WU9L5YpeI2yg_KRXzXcq3PpKROo6iuPqsuQ6Gu9h6SF8DHvBs2InNIGVfJh-gjnNoFgS0pObgMS5pE7P8geV-Ay64dd-cmGKFZVYVqdZ9csjiWWkj8Gic72S_ZROBJ3CRZx-krwY1_pIsTHoladAmFPkQRcX3V-Uezo5FlJucMYJOVVHWrPQ3vp_Ip53sVgFnzJZ5I_SPxNYkmgCpFUuEdO8vlJlnw&reqid=L1u8DsPMFh5WENQC&type=CLICK&pos=5
"Ví nữ mini Yuumy YV40 màu ngẫu nhiên
Đã bán 291",57.000₫,Đã bán 291,-62%,https://tiki.vn/vi-nu-mini-yuumy-yv40-mau-ngau-nhien-p193650197.html?spid=193650198
"Ví nữ cầm tay khóa cài YUUMY Seasand YV70
Đã bán 108",73.000₫,Đã bán 108,-62%,https://tiki.vn/vi-nu-cam-tay-khoa-cai-yuumy-seasand-yv70-p190582559.html?spid=190582565
"Ví Passport Bao Da Đựng Hộ Chiếu Da Bò Thật (Nhiều Màu)
Đã bán 60",225.000₫,Đã bán 60,-10%,https://tiki.vn/vi-passport-bao-da-dung-ho-chieu-da-bo-that-nhieu-mau-p214618089.html?spid=214618095
"[CÓ NẮP] Combo 10 cái bao bằng lái dạng PET, căn cước công dân, thẻ giữ xe, thẻ ATM...dẻo trong bamarau (loại có nắp đậy)
Đã bán 129",9.999₫,Đã bán 129,-0%,https://tiki.vn/co-nap-combo-10-cai-bao-bang-lai-dang-pet-can-cuoc-cong-dan-the-giu-xe-the-atm-deo-trong-loai-co-nap-day-p192126231.html?spid=192126232
"Combo 10 Túi đựng thẻ căn cước công dân, bằng lái xe, ATM, Card visit, CMND
Đã bán 5",9.999₫,Đã bán 5,-0%,https://tiki.vn/combo-10-tui-dung-the-can-cuoc-cong-dan-bang-lai-xe-atm-card-visit-cmnd-p116778345.html?spid=188174385
