name_product,price_product,sold_product,discount_product,link_product
"Mắt kính mát nam đổi màu dùng cả ngày và đêm, tròng Polaroid trong suốt. Mã DKY8842DM.
Đã bán 500",279.000₫,Đã bán 500,-0%,https://tka.tiki.vn/pixel/pixel?data=bvfTzcneehdNBBW5oNsyj3W_d4RU2coFmUVKs4LsAUchfJDNTRk3KrcO-ZgQfPQO-WAp7MMKSHsIL5uMiv32t8H92B9DY9eFS_PRKgl1TOmgjA94ZWpfVCL3owgJ5xHMy84NLJl7LqDz59CZYTpTbzZb5RWIehPYREBgvKtgkUNnKXVneTlXjDxa7pcuzIAy1DjbwqdT_RsC5YIx5dkPwMOpNQUh7cbSwhqU9nfo0yBKf7obEZnMCar4zjKXdiDtxefWSRqGWqkhdphuepIrxweQZTF-k0biEqO07f2HNkbZ3YB6HnNm7x0ym3Q8mXHTAmjGvnUocZRkAHaO07D-iJriHmH3ubrWo3WIaMG22tub56k7Ch8i2n0zINlI4_rCrVpaGOtPBfjyNLp20yatme6uvd-As-F9bgpD2lzTf4hqs_8KrMmVsxjiyn7H0bmVZX9-uGG6tA4q_mIo4MqrpuXsZs5hyXGNFyFYMz2MEKwpA4TUCd6gRRfSmBj5_86Qx-ToBumsYvoBX0mnNTANZe7cbYgEj4oB3ocmRNA-sEy7_uf08oJilpP2MavGHUu5sDI4S9XkPXf7UfZlr3kzg9_J8n5APuEaPbLRq0849wh7qxzC8pZI71SFrPjm_rjTyKSGZl6zI-h-Rx2HUQzbTBmrEp0YxzTrvRsQs3xugSWyvbAukV0hcjnudURwHQWT819G950sK5T2sOjeIrYnpwxz0rtH6qtSRVmeMW6ANydSr5j-DqKpjqKejwHU09B4PNAVlsa2TVEuj4T3Y0VEJfpIEw-z1UX21VfESHwMA7FxG63BG_Q4005V19RJATQTlVJfJTBfVsnkhEa2zpV2TfWyDSqsmSMiyb_SdB_aveks21xp8Plk1DnqpDJhsffNo-Lbb4GlTkuaCwEqgYcywpy-N6OytWW_bBS5AJ_8Tt4qmEFS2kv_QHWqk7ZqwCJz0xR4k29TYvDycLOC81eHJXDxJ7WgcP_f8K79Yg4OmH6oYdvg-BUeS8GdZ6EodX3CiURyLXTgmxMbu0LIVTEsfGjCcooc5L_bs5FGx42E53Xgv41vvW-dT7dQF5guJfKoeh3YL7kG9HHYmuRVY5_mmoypaolxFhWAvKz9DXOTiYEkrBkoDJSPG-HjuBxzQtp9dfxJFD_sGYSzWBprpqIheg6m5ypfnr29-vNEzB2q9q-vKjOxjfqrfGinfQ&reqid=blWXAkNFMawrdfPk&type=CLICK&pos=1
"Gọng kính chính hãng SARIFA 2250
Đã bán 147",139.000₫,Đã bán 147,-73%,https://tka.tiki.vn/pixel/pixel?data=fTRyk-rGYwUWQ5olc0FQ-bOvrMcKWqeNG5Ou2ypv0kCfOpUhkzRGMSL9oncqsDvXzCZjzl6fVESN7pd6I5Dqu0g9QtCox8MhW5UWdADTKCJ9kyzc27hfweq7OOi5YzMxNvWyv9L3I8JDJh8XaQ89UmuNgPVMwpMPEArhu3kkJemhvwsx4vzbqRvBypB9p5PtoIK0857O-2xa1R89_mH8xYtonmKjrJ373zweBBR7onGmRINWD53fxO8bAIHpbHi1m1rgYNh1uwh8P24UR529qZI4Ulntqfaz6KXqDTo-kDzhFvDBoojTzOWcavk7Twe2p3ZquF0y13rE_giTXOSp8D3AypXFBYjh6LeJKesHRnoVztrO4XRGG1-dqRCPus9zLfJQ3C7Jsdowp7D4p-3ELpT2jg4m9-FfS5yJgf_1A4jSzAj0H8CsQFTi2Be3Y01URu9irphwqimDg1bwL_Aj1BxaS3lY8674W18AHv9nJxChdOMnJ01WD-7isdzOuWSJJ_p1F8vjJh_PNsTHNaPks7jWHcuoi16IikGhl9L0Fw_J1MgVnuNbZ51RLMVUT_oocdDcjAEo-yBo_xSYn9OZrOAsgyrMs7Cx-NKvBLM-RqZVi2ALKZDB-fOuqPhLtCD2CbzXNnqljdtpM5R4QHpQ8ZIo5HvZZwcx1Pq5NcW7X2OSwohIfLUKnnYDuLjDQApFP_ynO9kSRAHje-4CQY2F_H3qlDpK4uWq_5T2DaDydNhdrjfOoauLFR1Fo-BT8IFhJsU4nlA5is3l8jkQNE1qCiKNuYQRpvEw0JjUmZPCAY83M0FWsI8UN0O_qMZAg4v5DHW0hzlcAxB4EuVHFgUvMLMQvIW0fMC3bNlq82UvPhiZdB_yA5BwESXOjl4amnw06SRvIM7Lc56owEMvUj7JJ93SrQIOMremnSe6WwymtuXJ9JjkRewquLxJNImG0gCBFBfn5-Yn2yuSVcHElyN8Cw2xEqqIM_T6Hj31i2d7CWWrbl7azFHc4r9UYSNf2rRzT-71yrT0TwXGLw8xJ3n71egU6jola748_5yN1FDfQddpfWOf7O-L6Nkz8lubHG3SwancvVnExt_3Jls7SnTlh8LLO3qj1dHf3VVH_fHxnhBmUHrQleDnoyVG2g&reqid=blWXAkNFMawrdfPk&type=CLICK&pos=2
"Gọng kính SARIFA 3285 nhiều màu lựa chọn
Đã bán 34",127.000₫,Đã bán 34,-76%,https://tka.tiki.vn/pixel/pixel?data=wvQbV84vkqDfSqv27Gvk4QShTH9UOwV2tzHRnynO2X_X9q5k-Rkblb3AHlrx6DNDctzq0DnpLasQXiQ1xLhKdgoxSyUWwvNNan28sS1w7YcCifHaXJuv7ukGFx_OKBZQIKnytDQw7JbU9gDoHp4anFRtSsnRg6fv-88qjkycErQTP886WjL-X-l4BsqX2HPkOJ5n66CDFjTi2XTS2U6Nds_rfP2J4JUWagoikDvWBuv_8jf2F3q0ZsHx649hW6WhsDbzFUtIx_CDpNr14iQ5fDMdP8CGjTQdRXvX3Bxv9AJzwOlMw10V-JHfLQvit6visznXuWHFcBsk0teVvETIbTt6V3XrjVZtiqep0qCWmG33J0o9ndMgSsvbboxCupRFxNI-s8SpYc_ZEtr1q__j2KwY5EezbdFkniGlgXGhGjSmXlD7kUkOlFR-lqmJtrmv2KtfGJ9utBZMQv3w1oe1NV655uQcBWiL2wfajs0p1DPe5h8BXy2S7WNJ3Xa627HcEWLv6dmn0_4dsnC74rTYnBzlfm12eBjMArbEtobysR5jA6tPlbYGZ9uGa2LSTnUCSeZzWe4VXG5W6aXxS641ChGuekcgiVLbe372GST8nUOwEvq-6hq7YFU7u2iNI3eL1AdMTtrtVyjllYa1SOgiNk-2x3zUHk0oPxAOEAABaXccPcAMe3eulpedfr4fNXg0hm2Fxqvtll1Cjnb4u-N4rRGRrzUjzaWEe9ilsgdrHdke03NaN9VYeMyzIToW9pEZ4Kd61JLijH2K-d7IITCZucmy3EZHjVLf5l2xDHjItaRBc-byAw12VokodowxAr4VxfdCVWohv9e0bC5-5Mzk_IYdOQOuI6LiyX5xsmVbouY9fzzFkgysZLPUobBWFtq33ICJUUaSOfupXqG3qAxeG5IngPl-9wtrkZr0sdJfXD6vzDUTGKfh8wORbzcJGLqZ0D1vn3R5vWVQTU6V2AAu8ukDJsUbg7CQYn3HjZjknrYsmFa2OEdnKWqpvNUC_V2Ns8swa_v8zlZjj1xMSqfOKl0PD3it15K-bQWDwHRJuH5VGV4YVKECPeBTbYyp5WZ7g7vbrwg3r5k3stmKROoRQo5ZoYOpRFCwvZtSoJIzApztE0NfKSv66o4&reqid=blWXAkNFMawrdfPk&type=CLICK&pos=3
"Gọng kính chính hãng SARIFA T8016-T8028-T8030
Đã bán 3",120.000₫,Đã bán 3,-82%,https://tka.tiki.vn/pixel/pixel?data=PM6W1oe7zWcVTlWa06xgM2ZDybupwCZ3qxBNfniJKAU_rz_YXQIpa1zelxzppW2Oe8jchx-7ELtkvjhj4g5afAG3taF-T3ko3HnHvQoIqoBz213UQufjOOELheE3S93p8ojsIM9zqq0OUY5R6sStI2Fpp-JkqPIkUHWquZlewfrX0JXDYABmVCAQzmWLxcR-vty0QHrQ7IHnXOqKnwfhIV7L0NQIL2IQq5qkDcogZnZCOyFLribhmSs5yPcH9iLtEt10UVRWpQNCQeGGucDcs9H-7CYc9KZ69HqojAppa8ndmA8ZgrKLd-nREx_p8BDYoknMsTL0jwTXXGPx633Ody0GguE0oV6cdPdgoxL3EqxUxOD-e5ItLU12L68wz_6vVtm1c0e8qEYS3ffmWKxULZ0ZJ8jOKbminSNz8N7drE6ueUhAmVX5STpktNAMz-ChWiWHtzjI9LX6gslPlg0Pv8_etj2HgKfuxo9Fbay3J90uXLkhWWSdD9u0pIQ2RhwWb4ZOln6zOLbX-3Nbmwce4OwBZ8HvcIho59vBxNkOla6b5Lep8lEfsu_GQXnEUYWU6-feDLQWRcHR9cbqnSk-aL6cIBNv517Etrg1qb1TuQA4k_-WQVmBYEUY4CDXXNdVwfXEjTtg9poOZLvSMSBsjhsUXBL4sdS6C5NTUj7EfJ-0uo3LOrRDgtAQKWdKZ0lB7_J11NE7UQSmptM9LeHg13P2-9xdiC4VbOUB3QVufJ1w0mRImh6fM8_b-D7g0Tmng8mLex314G3FwNNTGyNhqwsGD0cBNtR0VL7kMt-u8U3nutvF1RxHt-NpNri_JW9W0zVeXyK86cKNOEKmLMjVwlbUprEncrK9TEVOTwUC6mlBynb8e9CAgCwdPYmQ8GVXUlzuQFRWVu9qphTIqrPF63oR8CejUGtVwG40CjclsRJyFd1BX42bOn2uCpV5SmV6AOmOJl0Du99GVpqrbfo9Vl_w8fHjIPoX1yJ-ej-rTbDgfBKQQgzueTOXXpF8ycx-Mm1i-o9pB9IdWDfQAy0DOAONZBtpmAc6NT-O0xuMSRkqNdZUddRhFB9QTmxbZZR-1cZmu_NY7_euhiGcImkXcivyEk7F5KEuvmZur01v7yH9vsRrtKOR6CQchNzo8aL2&reqid=blWXAkNFMawrdfPk&type=CLICK&pos=4
Kính mát Unisex Rayban RB4202F-710 6S(57IT),2.375.000₫,,-50%,https://tka.tiki.vn/pixel/pixel?data=Al_Wrn0eYJ0fyzrHiBzfIhQfs2QttokCzdBGWQ1Fww7V83Jp28eeB-zPLqDcXuj7_uts-b8BPwm_N7Wh-KIkYAqivOTdMrkeAQC-IyLLGPgH5ciOg6ljo398VCBIaOZxZ6dSsn9taiiLJvaQiGEBwBPTQS8LYJH1nOfBxLDzyZZg5XjA-4Hq6IfqyVDmzJKlaNXpiSSzZ3n_b1UHocb0ZzfDpfS0zDNXL2Bn0NaKRUHr7rEeF2g-I8IZLsyOphRffjHHREAr0moo4eVPNfmcaOpVpFnpJkr33oXwLHfb2CzZqXad6zfq-UqLebUfHiPsauawbI15dSxMM9rreINhTa0OAbgYvXZCxDhZdX0MjLpcyuwa7Gh9YYRnBS6wSx8vcsb-aR2h2QRfbEuWtcIJe17I0GhiDadTxY-2Zd1TQmx_ECqXQ8HZbt4Yr623n3IrkjWQ71R-ZsmSrD21TR8HGaK5FB2m326Zxx6RH8ov4uYKN8XAEa2qSIETXQKglUPELl8MFDTvT_rbYgOpDVbpoR8trNYIlioiVByzEq84o0LKaSA_9odf2yYd6_LKPsXrLoNALXH93yz-J550HaeXKdsg_dgbm_RcbOlu9M0aWrb-FoDOV0hLe7SQcn6Xh6Yejdi1c2S7JOXp3d01zGnjUZ-hC2auCS096WLQZsokPM-LwHechEtamemTlqMFM89Dd6tIOtkunu_7pJEqOIUkSHcVC8zRYr0vPWerj0sSxvWZp8HlmghBXxDOeYwGTXgC63Y-3mJxyP73f0QjM2xouplQ81G8XTr9HgxTpuRGU-ZZN8m_P6EXF6a6qB1u7QP3D9akVwVEbX_zEkT3N__9IZwsqp_2whybVgMIeQ8nBP1gZ2Uh2Po2FOOGUHSdJnH5tQjcnPcaoktV2PEwy5-qHPRMWJIi1v1AUa04nsZWcCxHrhcr1X-QtmVPsvzO0wdo8CMMHXq0Gcui7BBzhGEVWdwPPMx0lq4VQBORf-CL9LtuqUd3w0oCwyTTTR1lw9ksgtqt6xmelrSGLWqfg1Py3nMkC9SnNikPwPcbRfex2oQzsrXqH9_AWzH7F5AJnfi68h6ECnLKHChrSKZV1YEd-1UiBn5B4mJipATOjMLZQ1vcdgj4beJYMcY&reqid=blWXAkNFMawrdfPk&type=CLICK&pos=5
"Khăn Lau Kính Nano Hộp 100 Miếng Giấy Lau Kính Chống Bám Hơi Nước, Lau Sạch Vân Tay Bụi Bẩn
Đã bán 1.1k",21.000₫,Đã bán 1.1k,-21%,https://tiki.vn/khan-lau-kinh-nano-hop-100-mieng-giay-lau-kinh-chong-bam-hoi-nuoc-lau-sach-van-tay-bui-ban-p178952359.html?spid=187588969
"Mắt kính thời trang nam nữ form nhỏ gọng chữ V nhiều màu cực đẹp MK106
Đã bán 255",24.000₫,Đã bán 255,-76%,https://tiki.vn/mat-kinh-thoi-trang-nam-nu-form-nho-gong-chu-v-nhieu-mau-cuc-dep-mk106-p103759208.html?spid=161943914
"Dây đeo mắt kính giữ gọng kính, chơi thể thao chống rơi kính
Đã bán 528",45.000₫,Đã bán 528,-10%,https://tiki.vn/day-deo-mat-kinh-giu-gong-kinh-choi-the-thao-chong-roi-kinh-p169641329.html?spid=169641333
"Kính mát, mắt kính 2508 nhiều màu
Đã bán 610",24.000₫,Đã bán 610,-96%,https://tiki.vn/kinh-mat-mat-kinh-2508-nhieu-mau-p70656443.html?spid=70656449
"Khăn lau mắt kính nano chống hơi nước chuyên dụng Hộp 100pcs lau mũ bảo hiểm, màn hình điện thoại, laptop chống bám bụi
Đã bán 117",22.000₫,Đã bán 117,-15%,https://tiki.vn/khan-lau-mat-kinh-nano-chong-hoi-nuoc-chuyen-dung-hop-100pcs-lau-mu-bao-hiem-man-hinh-dien-thoai-laptop-chong-bam-bui-p170262631.html?spid=177060134
