name_product,price_product,sold_product,discount_product,link_product
"Bột Ngọt AJI-NO-MOTO® Hạt Nhỏ 5kg/Gói
Đã bán 633",293.000₫,Đã bán 633,-0%,https://tka.tiki.vn/pixel/pixel?data=4RAAfy6cbd8uDGFIXyK9mvdsirqV-q4hckGk42NJMkysCAr5zBGvFtMAZUcY_DhawZBT2Rfl15O-EGuLG4Wcbz7-CI2TPzxjpTU-iLGpCmxNUiJBuNSaEo7ag05yZ0lV8eGAc7Lb5rQzthx5-_V5V-sNj9_9NQIY72BcTj-RzjPf2PWsh12PfkeqHP5IPmO8-uY2mKjsKb6W4cungtO7Ns3XU8zVwDPuVbwfg5qvGmcUhpGhQlcakiAE_Re6_AQ8Di38HbzwRZtm36GpJBE-nXWxvNTcSj_1q4ehSXQUxlKvFUqTIu9jspLJN6M99T8XFLyNwRqdsbPQ_n8BFvWhTCZ1vKccSeQGWoUWNZbgxdozkpO4NHUTiHTifAEJ0pkWA_c1m4gVlWN0JKKowD4OVzIWMqN-KtRnCp6qpidUPVDcZsVCF3teyv4Ln58c-Ob1sIdWI3l3yHzAT1gcbEeOn26CmpMGpA7GKtYBmWkT7VtxU-fPpXzv6iWTYLtTsaSVclhBgAjD8-7wTCOvbJuIkbIsUJT9y4daVdXRF31P9W5YUc9rbMs-3MtrMYmiemodO9TbWkyowLBLm9jIceBwydd6wnmd41r7-PIf3ay2UA6JCidApdvEABRyHUOQhouczgfruazcjxEUKJ75ZkeuNwCjywCC8zWymwYhRmRd5qcs2y22SYc04WGGNDLv3CSCIPxFUwKFtxv8rKlaSA6WHhKotGw120zW1MEK60GRRCJI7CXCB1qCLSzlBU-UzOHBbNBhF-4Yavi1LStmj6xj2X3jf12mUotDOB9E04dHL4Y1zAz_VyeuppmtQBfw6hNk2Ovpqrb1-oE2qSaFglzlk4Z1cEugvtvUB_lLC7PhhHPe8QNJpPpJ7m9wT0IpTjoHqMj-_3yiQqUC7nN677_qA3MkGy3Yy38t99fTN3Kk3AEEozaBoVVFTeS-MeCVngJETtvD2PsDIjQQq5Z4l033cv5bkADtsDpQbN_T0rhaPLN2HVHu4776b6LvDVa1BbCBhB7nV4awM4UWwYCWdQ-5dEkyFM5W3sgoc11gL2_y8kvMbPHbb-KqeZkWcvK6rbrtjuKq-iK5z4GrkrAgREgM-9vFnpmvxeC8ifljw9zkz1bJ9TAWKuS-41zfXbTUsUv9ktTpMin7LvYlauss07jXE4qYcyXLdby9gGl14EMNCQ&reqid=XlzwMYN9T8SZOstZ&type=CLICK&pos=1
"Combo 4 gói Bột ngọt AJI-NO-MOTO 454g
Đã bán 1.4k",142.000₫,Đã bán 1.4k,-0%,https://tka.tiki.vn/pixel/pixel?data=P5QsfdDHSuUWKQUVZLV9GU90rpP-1chPXVNnu_WRALet9PuuwdND0ohC3vvtFEHbuPv9Ba8f2E01jADeDcDfXnyKTNvkAEGPt_gtQ-vVkLbTG4gBlmgTKINZuvK8JVtsSs0EtU0z1JS2jkAE76gBYetjxJGMihyZ-xwln3tu7n9fpXAByXQ9StO76mU_EsP_zfc1cA2exfx8Kgq13-w5ly93AdD1wxynVVzoCsyF94jwRIIqIc5xxAfhUBXidmIK1hN51jowavG1zhI7CxdMUBULTvzbZEmQ1sIVznbFkrXYZbabXvs2bFyeWyWAwAugAICEmGxEfRIr1w0sJuChDAqY6VHd4akJj4uvClxrtfGc_DkD-R8-j7xgDXuYl4C2vVMhD6AuLDq2WBH-_wxZLT6XZ2aNADhYBrv2v4_WcL6h8P5QgsjKg_cYwd3CqlDF-AM7y4PLq-30QRbkApVdRq99kR44TA3p5c8Tbid3mgej051KmrDx1b-z76ZDIOo6eU3do3bBJ7C2cDNiGsaYESpUGTnXAECBPYG50_cPbEFEIpkf9R3kOho2aJPqtJUYHaiiVsCN28Fp9Kc19Wavd8YDU9hOeiU_hiFnoHX0d7TvwCzTVVerRInO--GhR2qlpBMjQlyrDDe8NeNKFeIGRgdgoRxBUx05q2KPwf7_qK-ayvUOiJ5NcJ5vx-9F6ayQe4vKG867P82mrCuLN9Q5Qs6wlZmD4qWwaT0H9M6Fvc0t10N9aaeOobnk8QbKHNTmhZTD7zPiDZivp3FBqU5lchuLM8D7uP6V0vBSiNzb-ujMTiCkUnGDbxMKN7srV024r9xou1O85Cv_DGBCnweNRbWwL26hsoaUwKns5K8SBKtUAk8xZR5S33Bo4mbENRMEtfCBizk29V-o7U9286EJ0DNtPPjRzKCp4nkkktthG5elLIX10XR_Z1le_HZumYOzBodtXgSkU2Msodj-saE964mputNeC4LeI5k3ub5ybJyCiMfD7oSuIIUuBDfGcDoV3_j_fnfr0ebc9ICBofaWqdeADbNd1--4kL1vchc2SgJnUk3ASkJultjjSg134YCe-biBiJa5svuFWqu5aIKBvkd2ywdc8t9Khg8TXOU-LUP4BCD5XaBO6o4td4Vd_886UjUYttNWmvbFGmbRdUkIcr0LyyrTuflHhce957abTyktPA&reqid=XlzwMYN9T8SZOstZ&type=CLICK&pos=2
"Hỗn Hợp Tăng Vị Bột Ngọt AJI-NO-MOTO PLUS® 5kg/Gói
Đã bán 148",483.000₫,Đã bán 148,-0%,https://tka.tiki.vn/pixel/pixel?data=zEDIiFDUQ5xofznqyTl23gZANGKrZnlRjzwKARcnDgA_tAF9jOeAUTploag6UTgdUw6zkqXdqj-znGjdw-BAsbzkfUgXGRo5MGqHydPuwYpMF7QYvSxJqjdkR7SmADbRGWTu1kwFqkvd2xF5y7uyblBBcHwLYW0vAgiYjGrKCyfHyIvbN96lIG77fizACiwH-1_4D5VvO0FNdypHr53SikksJ6n2haZQfnU7KD05KGoIhU3spwk4dUFLhz1aym8JBaAj9RT9f0SK7UbejI6MWH0IbK_XYh4v8nAP_3UKWmxWhQWjJrkWAj9L0cXmZCfX6DJ2HAfQig42B9YSJAWaNfEYsymV6bS7N63sCDOJJxJGdTwVWtHAsseIk9fLJHY7iUdc3c9MyzW00568UVzmetXqD5xqgbiaWtyA9i_nd5cOEFaRJQTjHpO2IPEqUYEwFzRv7essg2H-8jFghAo5JV9IrIrHxZSnfU5wxJ0pMu9pLpfAGv95MXMszIKxvoZ5cdwjQfDRZajn9rPlfhcQ19yX6jcW5Us-mGklR0dGh6tC--wIJdCFNFxmsqZjXm31k1bdG7RQR-VCUvczkl3by025tEGURbYfH7yX2kdKBySK5CXxVN_C98IpAEf04ABV9GT8MsToKilW4XlgohEK5iu42CjAqAv4xQmxSzJlwe0ApuyyQGn2CeQnrgACRXNj0CwFWrHXXmZag4COLCE3Udvbi_jaxAWGSnkxTzdPw6h6RZvP_2CbaU0oEsyvxADoDkaXzGfY6K3UBXsRfNw4-5bl820hP6fzxnJ-AsdcQUtIMglzpu2pn01QMoBsxwrOcyY83SgAHRFc8It77VCfb2puRk_Gidzx7KfeF7irqeh8aJaN1mSXDx_O_9auEuvrkgjABRAfeQoHrzYxNpgoPlWRPgOWBWUhoxSw6G5fIuLI2htquMhm4zjXW0E6ix1DaJMq-FWBOh67COcSNjluUKOF8grozJn0B2yBiNbDjyI-EkVRXfestfvwICZi23ZiOwTV34MpEfYIRg-mkXE4HpnHwW2RnnCjDm8kytF-tsN9lkACPh2LOKHEn0eJCd6lkYUHRqdUruV8I-g0kpW34Awr8w3nl9JYbT2HnxbO8g2P8v6sKQP_Dkh-ezKDU756_K2cS8lzkUkdqxSfozVCQ7tgs09YNSMqp0QNlw7Ya8yNYpgqXRd3pS9t6rg&reqid=XlzwMYN9T8SZOstZ&type=CLICK&pos=3
"Dầu hạt lanh ép lạnh bền nhiệt OHAWA - Nhập khẩu Canada - Dùng trực tiếp, trộn salad hoặc xào nấu - Chai 250ml",279.000₫,,-0%,https://tka.tiki.vn/pixel/pixel?data=-XCWqM4mCOv-reg4bQ3Vmvj2-WpUN7POnKnlVlCvGGGLxHC5tqNeSCFeeuJjgQL-RQ-XSl9GzkXqzAZghdyIcGq_30Nx-3iaC6mM6ewzYVg61KgMa6rjP1Ir52tYHK0YYfiKDV5sOPJCUzm74vT54OoYFsHcrKd4ipZMWEkSdiUjFQ-BcTVkJjDqnEc8U-_vPFXsQIxOZ0iwmekv7kltzphM7jib-FE861q9q5EUam2OHGVtDvQoLoMQeLFjkeTEpkxnaNgIVQlqRDI6G05m_sCdz5CAggmx85EUZ0kfIJ4AMtGRe6Kpc5J8Cf_8kQ1yig-e8493QVp2ppAtAN1_-U3izT42mIOIEO8eYI8yLf6H1iLTJxdO5UjQl-z9CVs6EkhlwkB2IyvOYaXJBkYD09Hi1cAo8SwencitcwINer8o6wfNfzqcfHdIqmwtRT_oqoNCrM8kb9R8YdZMnWcDSgk2v_8WmX1i4omGqLaAmqcCCMJGSyVylE4all3y7d2HYo0cfI1W7G_cY8hjXR6AhYGCigO6L5MIPCL6ApjoxQRzgWoj97EkdSd4yOjA0YoqE9Lozy1ADLs6bxP33sXZBPBOJAxJlcpDu3bxoBxl04ejvqpwYOctTFZl6OCeSio92aiZafypOZV33kJabfSRVm5Iu5MaDtPMjuZ1ZsbaC8BGCNk9-CLtTgxiNToxk2b-ReWwm5BpS5gvjG6XfdpGrbQc_lLkcDxoIvm2Jd3XIk_1QbiOlwj_OY7S2ICVtrZVGpQFonBs4MLltXumW4VpIqoDg1lFkxRddIDBwqpnTEaEygx7YNkM7RkRdxhOZgaAZkrPqEQ0IQDCd3iFm2EJX_ZBmGbvjSTfhmY3pMNRpnKb3RcA6NIFbs3EDejqOPaebIVeo9RjPSswku_AGrq1nIiqC33GCqG6Q1yYDZLvq6qYlP9dvJHZTAKF4EORTgS0E4zscvHw1Q5-z0UYaGM-iWkE_7aCVhfDuWvtgX6TGVWXx-N6P3LKMmOpXmFd0WGEQuPSlHE_VUORsmNkBJM6Eti0gJancVaIPLpHSMTmF1HAtKXLOR7PVkzaoHAoI56OxGa9-NBbvouZPGVTE2gRvqc-0xySNw4hal_VUevWInH4I3L7-PiFmVkyW5s_9L5XitVTxcSGue2im2u2Vu-2fXPysXrJpxEhxu4R757bUcWOC18dgaxq3oGmxTwmXAI4BpMD0EqXwz_XPWCQ2VoN6RG9ya6V0_2vaWCpzZRKjyVUbs8G&reqid=XlzwMYN9T8SZOstZ&type=CLICK&pos=4
"Dầu hạt lanh ép lạnh bền nhiệt OHAWA - Nhập khẩu Canada - Dùng trực tiếp, trộn salad hoặc xào nấu - Chai 500ml",469.000₫,,-0%,https://tka.tiki.vn/pixel/pixel?data=wM-s0jvrR0o2Akw0AkNevZLe7DWKrr7kR_wLt_K51xxB2EeAvJz-6-M5tOIHbZpSSNhaG400Q6uKCatSPBpynQEEhi6Snz16U6hMIPytUsUwREEwCKebJq9tLFWqiq8aobdy39KzC4ZM8gVa9hqAj8eWFn1UFRb2MhY3HbPsyAoSuW9Cd9A9fYoYPTesnPImogePrUEjSVVyxRJbReY6ZgmqLHAoUvpTpALI9vQ308qFIpjuR0-YXpexMEoosXAXq6iVWBKB9-wPPBm4ueHwlhgjuP4ML8bgIRjsHbX4WMKKSzK0aL-vshE7MqFBLWC3rgKM_my6z3yCOiRf95lae-9DC6MZpW8vXHBjsBERCRGb-qQ2yUvCBcSRISok193SedQk_vmJ6AXQ9eHfFcLTQ66hB-s_MJetxaZWoqbAZ2RkgcGeBzS85MFgKOitdt8EUgG6oA8pFhPyrkq2TkiUN4motOWBglDe8G4RdVwep6NghrFU95Zky9xrEYTsgcW_NPaVnxdKivgLb2T2KJVzByLiSZrNEJfXM7MoWG65pWNNOYl8FeHOQhEl2UnqJUgMw-UyCWATi-d1lYCLQAt_SHV7aD-NCYcPZeopWi7ejwnSsh-gy4sV3Fwmk0tDBJLB_iOyUzFvf_IOxUUgZ4Y4kQMRgkZqAtoYT27PHJuXINlxb_zEq5awLHxffqZ7NklQKFiJSKdzAZjVHzc2NHtBQbk9L9Un545H8xlBO_Ub9DRx-58TjXc4fm_o96imvRA7miQblWhxHivytxabvF1fqNDAdrIT6EjII0vSNgpHNGZ5OmOXdZyOpRL1orXeNHJLf8hyqaD-4Oauw79r3Ul26EI2x08u8pGaFlMlYyQg99IqC9lOVu_DeM_MBoTsUp1jkQl8mOiqhu2jCtblLxc4yQHf-oUqkZoV2af-jJGd4lu6IDJXh7n7myhsE7c2Mm0cic-lFkGUKceN-Wu4CP1nmyI2ZUHEmW4uTzu59_PPsCSbTpBPjwUMj7U6rMak8si6f8Skrx8_ctOJEaqPgi840S5aXXQcn2DwizOo5QsFrt7HLLCYVUoqnSPxydrnXJg4mzI_HsbMbDXJEyyroiQtWLGMS_DE8VidFwW-b40PlQcn5sGGT-pSRUAC606r8TJMsdAC9ZlFahXQmBopRkH_fnv9STXYln6_v4f_hpR-TU6IymUEap-1yakrKvvvgXzC-m89p6KUSdDq6dk5A0Bpx8R82D1z0sUXBcI_eyQQv0BZYWiv&reqid=XlzwMYN9T8SZOstZ&type=CLICK&pos=5
"Dầu Đậu Nành Simply 1L / 2L / 5L
Đã bán 5k+",59.000₫,Đã bán 5k+,-24%,https://tiki.vn/dau-dau-nanh-simply-1l-2l-5l-p133696713.html?spid=196326
"Dầu Ăn Thượng Hạng Nhãn Hiệu Neptune Light
Đã bán 5k+",127.000₫,Đã bán 5k+,-16%,https://tiki.vn/dau-an-thuong-hang-nhan-hieu-neptune-light-p59504295.html?spid=59504299
"Dầu Ăn Cái Lân 1L / 2L / 5L
Đã bán 5k+",85.000₫,Đã bán 5k+,-8%,https://tiki.vn/dau-an-cai-lan-1l-2l-5l-p133682930.html?spid=196275
"Hạt nêm rau củ Massel Úc 100% từ rau củ thảo mộc bảo vệ sức khỏe, dành cho ăn chay, ăn mặn, ăn kiêng, và cho bé ăn dặm - OZ Slim Store
Đã bán 3.0k",64.000₫,Đã bán 3.0k,-59%,https://tiki.vn/hat-nem-cho-be-massel-uc-100-tu-rau-cu-va-thao-moc-dung-nau-an-dam-cho-be-mon-chay-mon-man-cho-ca-gia-dinh-giup-mon-an-thom-ngon-tien-loi-bao-ve-suc-khoe-168gg-p142996124.html?spid=143002150
"Hạt nêm rau củ Massel Úc 100% từ rau củ thảo mộc bảo vệ sức khỏe, dành cho ăn chay, ăn mặn, ăn kiêng, và cho bé ăn dặm - Massel Official
Đã bán 1.6k",62.000₫,Đã bán 1.6k,-61%,https://tiki.vn/hat-nem-rau-cu-massel-uc-100-tu-rau-cu-thao-moc-bao-ve-suc-khoe-danh-cho-an-chay-an-man-an-kieng-va-cho-be-an-dam-massel-official-p272198562.html?spid=272198567
