name_product,price_product,sold_product,discount_product,link_product
"Hồng Treo Gió DalatFarm - Hộp 500 g
Đã bán 248",263.000₫,Đã bán 248,-8%,https://tka.tiki.vn/pixel/pixel?data=FGn3UBU4eeGy-K6UXAzYPTVZkcP7Jy-xpbqFVsYk5CmROU9_al2MlN1Dwghy5pmjvdy4kkfTXQ8N-FtHtQZkQjq3Ozyn7LIJ35Mw7e-DEE45Szzm71T6AnBb4aGB0-Pk6-FQorIGlgmOcK5Qe2WVkAiJscLl_Pnenfjvx0wApwyQihQzcPBlas3A-hmqxsBAEb6Oa3_H3dGGecn0-evP9_E8g_H_k9fKRImQ-TYA6cNgXBetqEld_0oMbRtNYWQLw9goVjYnIwaq9qGYQ55bUuRO0rEC24eaZ3w3QHr4Q3Qec9SQY2ivtkN8DTkOsqhv4c9bTRAQiBR9nR59ba_v6EUiT6R35dccbue9t9khWALpmSeK4je8wHlOG5BtFjzlj2ZflO0OEzCx9T-Aw9wyvGQyIqX_Kr0qAGp-yQikL-aADhxcJUUEwarcIcnGa_cgX_km-aEy8afkZTTTuTmiix_Rezqh4crfmaGZJG6cTnYphN5oAUn9njAO_bo7KWUde9bgAaAluZrAIOp7ONlowcOC31VwtY0uIjSAR-2Ojl2_4Q5n2EUM-qwNIz4Kl5R7432CJa90r3EPkXuFXoiAgfyF28iU_C1rNKZ2znOeT5wsx1S6fus_V_4QxpQ7aDzbhEHIxka7Ifhids1s4-ImwLU-B1k2b3DpBZ78HcyAFewzQBpF4nZ_0IEhVXVLNSd82P9dTjjw4-m8GLqTbmI7GlbV-4ii3kpp3rNerfbPoJjMQNgxAFJca3djDaQXgnly7CTBN7vlTiVjeljPxxseKlJczjJxnx9NkG8aWUXxo1Fw1tX7gyHVg01JlLPzCidKDEawsrABNBziPyLpFdOchKduNa-p8eYt5M9T72i2d-LEeCwweyOyTbheYOCJfgtyuSOco_iipYiX7nUseq5Ug58NFau5tXrqsAIyEOLebVIqGytuNI-D4b4ie067ARXfXCCIO6lgWYb5Up2sTsMIsyn1kDhaIwlXoVefCotwFn19PLz2PY6a0VteHgtjZJ41tgkVY-l4Ill8thCKv-g5qz9NUQcIxwVJ54wEWzu816zNY951oF_Fwnoiu9Mqyoe88269lYXpQxTvIZr_GrVDnnSbpmhBT1CPq4B2A6BfKX3U63iz1mvs1N4qTdkMwg&reqid=zkZdQyMc6lBE3qrw&type=CLICK&pos=1
"[COMBO] NGŨ CỐC MIN MIN 29 HẠT_ NGŨ CỐC LỢI SỮA _ NGŨ CỐC DINH DƯỠNG MẸ BẦU
Đã bán 7",680.000₫,Đã bán 7,-15%,https://tka.tiki.vn/pixel/pixel?data=ue35sQUXjwVvzlsHMtT9YUZZoLasrwY0ndNJxQL-D6GO_dID0ZlENEt87plj30aFlExW7pCx8FCYx_AhQYI26t2Q1t3PbsLS3rSfCWeVzLQJqHHGG6D6tKmRZJN-zQnQ3NCLlsi66ZY5iPvmb334ap_R7F8tT_ZK4ckG2I2aTFa8u9ezcFMNEXvcgeLxAdw8x8lWb9dnmhH-oIpB6yoQQAIHHHXj6EC9584lsZfARMHWsEbCCDkD7TsggNsAUZzC0p5fY2EQzsSWH_D-RAswDNJNERG3OuashmWPb8QzYQGq0va9gisPfzSAdTrh8Ig77XSN6LqOpZt9I0vrHJ_aArhJTOd6Mpsn6Lkvh7ef8U9TS8CifIPkU8tX4e3GRMDuFnfp9Ytk3SmvF3k6LBXdcQu7nZeRwG3-FbH2tQu350-cySGAmtNAA0tJ0nZSL1h8LcZKm51napGAm5f3lXfe0rVrtn6IYdniFqtJTgyvtxUcHSX_aJjMdhzMYD7Ilzf22HSjExB_GEytZCLj-6ZgXy9XS_PgLHd_nwPRmbKFppsXHXHDJ9ToS-YWM9HxIH4GUwJFcWmAas0BLisN-1w1NAMjFpiuQDtVVRpevcXsnklBzDhJYRE3I2SzJD1rBQCz41hwRU6xCjs5Ise5JDBD8beZH67t-pGEkwgs4HaFJODyeCVeeojFcdg-K0GT5X_tEbaNLUGLKi5aHV2UBS4ryyaWPEnHYj8tFiJcOiCD0KFDNYzFla1epCoKGqFD_tIg3ajFQAALXSdolR7aT_mqt2Eo41uk09pevkXVM5iDtvD5WuQweoNL-DTjrMXwnkRAlJOcoUeGNlNpc85vWwJhw4_JYz_mcyj-I55DVOsr9DibUaKklDPWG1cj3zNSOu4UrgLZz8btvejk-UvE9jas5sSW1YuW0hwLpgeUeKaIivV_2sgzFujSwziz6TWx7sbxC01xyuRGexzQ5E4h58KVn9kliwBKZ5roxZDUrSR1MBGNbPwNLYO_1VRlKmFzLCRncwH2tS4_MUab_y0MN9Y0KoQ2jEAm7gO6ukAOJ2HQ6b5u3HQ3c1TLh-Y_RmICIe4WrAs2m6xCzycIJOUmdiwqpmbbAsQDnRV-u7ZegsdY5H4EMjdPNQd3ink07fd4LUfxnYVDr37wA4XqzXVEugCs7Qv7rAMPfJYGkIq5oHad8CdmgvP_zKEc_nOuBjM-0jTV_J9igsHC90xam4Ph9BXU999OH5CJuuC_wn45-b7aUl5yH9qKfpoOpjmGuW5T809oQateKV3f53b0SPhs2QfE-5DuOD_ngFK2ERf8oxzK-350PuI&reqid=zkZdQyMc6lBE3qrw&type=CLICK&pos=2
"Yến Khánh Hòa - Đệ Nhất Yến Đảo - Nguyên Tổ Rút Lông 50g - Tăng cường sức đề kháng - Bổ khí dưỡng nhan - Tăng cường sinh lực nam nữ
Đã bán 1",2.537.000₫,Đã bán 1,-30%,https://tka.tiki.vn/pixel/pixel?data=lh44CS_8ysjg4TMQNOGxXNB0dXOLS4jg6Mc8zqZ9aY4ID4Fqofl_EDpQoD9OMAY9-xAzHpEdIgADG9FV0C2E9WeEGH_oQ_daDjerXVB_R5p1z8Kcz3qELmehuVmlZ9hXxQ0qFBEXM2b0YANrsMczpn-u59Yetycz4zvbZ-HsTpmxEZvqtt5kdWGeqLYtNa9JQCm5lb469HLfKm5oao7VFgzS_jI4POHRATLT8UkF8LyUcW08IUFzrDU2sfNS99nh1OMQsYl8VsWdeqig_Yrrn4m_EmO4G5Tj1qF-EWBc97I94vpCoy3fbKhhAsNANyrcjAQGxXOWitmhIkEeN7SE5ExHi4AhHpI3BPeVb5Jy7jYwcJne2o4mqc3yvdBj7utHt-peGSD1wWyVKolMlg6D4IoBYTwAVveUU5ko5FFYJKIcFaYQdgbhay5L-i8xRcOVfbsGC20wl8OvOi7or-QmY2l-1ndziBI3y7emfYGNQMekvtmN6zGCrx_-rUkWh9cESQaUHbS-F8RnUfzwPbRTkKw19bEdQ3g9kc3mCSbVlDyZJE6xrmw9kzy083p8Jh0luhnfwTrpmg3jemJRm6-rILqk_9BAv6Kx4Z0AxMhYsPYm1_NPefDyEJe9l1vxJ-pw5nLIUk5g5xkz-mX1D2wDVjwLzwDDuwa_7ZJyLjb_HyrbX7LpP8amf553VYU6-fs2Bvn5AgcERpFxOcs9wrHI_MW23uEvpaD5w5C6psoUAt3zHp97I9pOHMm92weKTEMoyOKnh10TD2VLi8nfmg7JUPYBJlJho87JjKhbLB0H1ffF9vjeRayzWdohWJi-gAS5Bi0QxlX2P-hdTSlC6IeiDG6qjMF4loJB4WldZCiyR08RWCY6rhqey_YtgnTWj5TNGFJxFRbi2aHMuqwlwwpdkf8TUG9UEgxWy-mc-OyvIrH59uNpdMkgbJlMTw-nXb_LZh1pBnOaYo4ESGXu6f3qxJzqrBsWCywfMWElbd4TVguKMVSMo8203qcViSPutaSqHSyvl_Le2K_F_aWDakLbs_C3SAvltouRziumkPU8Ypfkt81x7eaA7qsGsf7YDNRWPIEE9IpiuwJRnw2fiUaM5TyKKBded5PO6aCbU9gToFq2VxTW9uXaisT_V8IZ8ty1sWL5IgFyC1WATgELMwkZzJsby_giFAyHsQHStdT0y4iZyEbouMO0lrwlXQUlxzxY5NnUHsTbfblp-cmbo_WTLQMXA1AMHSOLBDTbPaw9WHOTgASP9WV5nI-Bdp7b&reqid=zkZdQyMc6lBE3qrw&type=CLICK&pos=3
"Cà Chua Bóc Vỏ Pelati Divella Italia 2,5Kg
Đã bán 25",170.000₫,Đã bán 25,-0%,https://tka.tiki.vn/pixel/pixel?data=r_LlfUfefz4C3lBt_MSsSDMELoQmVcVif5Tsp2KPiVXhNDaD-eyf3SJh2O3yCw8MmJI2o78TQUTqwThF41SjIA5Gkn4aToPPI2_Qm1NZpRi-qoNNAEBnJhetORsDzdBqMU6jA4Ud3dupkL7LjIF6GhvIEvwvYV4pifhDuOeZErvM6getMrsA9ADOCnOtJZQLOj-cq40IlcQwRWYvRRDh5El00scSmpVIyedmqfoTrKwCYb3LhntYCxk3yusRrSJ1EcG3URyZwOOA3GOMqGUdgJpVvcuk2vMkn9LGbeUA9A_GIIwC57qbGIhRuBy7d9uuqvffAwnMdm8y9YIH2J9Juv6fCg0Se4reoQ1yBnGO8A2vXKrVIPpa_R9nijuqwTRp1DbFMextj0T4i3-mUFcEBTQx53s7bbyOOg18Pv3ytnySB_aKaFiaic94ASI2U2lmkXsuYa9RWoeAZiKMzn8XbgOg-P4i9wdJ8ISK6Q6-bojq3KNWgOrucfNRjxoc1Uwy3UoqfrITxOiKfV5AGIYFbuJd3oiYhAb0HVrIewc4ok0ecD5dYAb8vwJHrv6QbUK1e7I4wdp2cp1A8y4VEPlsCHKytBRgFRylS1H_BXiMeyOesUmkTGzgjMl4XLkc4EaZgnIlVU-TGDBmET_IFeZRLXMgoKGW_lf07cILqeQplyd1cfRNCn8b7FzRXMuXSOFO96R_VbX85qDBQl_qbS7nQpF-jkDPOx86TzPdbeEVaQDFy1fk8GSj3Who0uHEnzGrLpmJI8Xw0wfCf6Kw8ns1xdoZp0lGb78B1oS9ywlCp27lqTDQKYTt8jkwcYrtad9s0CyXipHkKzBqFa5q2i6hWkbjErwn45XklC0f0r4zUaFgf1tkKp900GAsDnpQGQN9CK7YuihzhRzz1FWq-ySsCrqjt7Vp4dWvc53xTPo1vWpdrVdJobUCel-H08WFrB6roliqmi2sCIeQL9AOJ2BlI9iAvFuuXyH5Ma9tzSQDLhYcx8PPYSLtF1xmI2y1n3rZfxK8ajFJqYu7UZgTZJVgZiDD6HLdkWYeOyOHwzI4AoYh8PZJR67WJIuQ9qR-7lHGGZzKSF6WWEJIepoMqXK4ShLpeLWQfA6_dStbvkE8zkLxj_B3xRAWfgca25VofzlAgKB8cUn2lWo22_TqKXiUTECRUcnp5FWGM_DPqyukQPLfC4ZkIG-PIMwzxVnAPQ&reqid=zkZdQyMc6lBE3qrw&type=CLICK&pos=4
"Combo 2 Nước cốt gà BRAND'S Vị Truyền Thống
Đã bán 95",303.000₫,Đã bán 95,-0%,https://tka.tiki.vn/pixel/pixel?data=SKfsW4AjxoIsbwh5v9AW8_hLnWasJmXR6Yvi6yGn8XN3hiN-MLi-9CYCblxSv9rYh1ZMCF6ttKCUyTbg4uZbWwUEq_IqazyehZcW4q_mfdaHtGDP2OO40-tckzb9Wq6fhoKG-_lNrZTH9lUNro2TEQOb86mnomaSq8gCkJ3hnAPxE7k_YzF_hRddGp0Ywh4Jj2hr24TePn0FvCJA8vgzDZa6rYHL19KFt8h-4SAdncEUrTrjfZuv-uFFJPTu2ShiTMB1ADGmGg1mMEMZdJ2yWEf4wSJecrL3E_5_7I54IF-oNU0clVzsChkUWJuGwqp2wDG0gjQWN6FO0y3K4G8AmkJ9A7gJWGznyuhkGs8fhI6iWhDODQ64cpogWV6o_8nbM5y4rml9TeF3eR2eUOU7ae_JUb5bY9AYoGBH4NBgZBjIbtDfjUHV1Bvq3nR0mEJUktbmkG8wguUDUTtxMBFJnkgAZDm0ksOnG1zE6Id5EbM1aTFDIjgP2FNdB8h32cAep-3f_gY88QzQetcztVVEZ2q0BfqAszklp1jT1hA42I1rp4RO5qI3i1BC-82wXd43b6viaJpv_x-qr2OofW10RymPBQ_JJ18GseZFBB0Ra3Jmid2oLjuEkMuhpxe0x6J3JbySwROkKQjmb_ynR5LYH0ccyu_9b9yQQf1JL4f7QQS4ny-WbUVPYxNwCZ5mBF6JHz0i7K_eixuwDvDWWV6gfCfupTvJ7DCXpoHISjK2g01OHvypxm347PrUAxPz9k0fXF4WQj-CE2mmNbJRTo6jRLvyPRWT-BmxnfDUA-uGM5iUm1QGRHkG7JM9n1JML_4uDjH-nCsf3RXjmcnq9g9uU7xNL8meaSyfYUGYu7szuDDK2oVUITiifx2O6RwnTmkXDoUs9P-UpwIe5M-L3LiYzEzV9nLgSi4ukDgxvugJHTDsutMDWKSHfSbPWbHRVINRiRbtLEcpZ2GMZhOPGaRayr1y2CXHKQyoioiNqi4HsFxkabZW2Jevi0ZNstaRJeuLJnAyrmhkup4CXHwJ5NrsDMnNAeVpaYBqdoyLdBCOFR72A9flPvxnntaD7VUn9ZZeuo3_6QRzYQaolOjAUa3m8-l8_ICNtBGP5AjVPu6qmeGYJXTYs2b-9Y6LBClX1ETU_UvfTg7mSbUDOwj-50IwxFAot3AU&reqid=zkZdQyMc6lBE3qrw&type=CLICK&pos=5
"Mì Goreng Vị Đặc Biệt Indomie (85G X 40 Gói/Thùng)
Đã bán 5k+",209.000₫,Đã bán 5k+,-13%,https://tiki.vn/mi-goreng-vi-dac-biet-indomie-80g-x-40-goi-thung-p54031205.html?spid=54031206
"Gạo Thơm Đặc Sản ST25 Neptune túi 5kg
Đã bán 3.0k",168.000₫,Đã bán 3.0k,-15%,https://tiki.vn/gao-thom-dac-san-st25-neptune-p107548406.html?spid=107548407
"Bún gạo lứt (đen / huyết rồng) ăn kiêng GUfoods - Dai ngon, Kết hợp đa dạng món, Eat clean, Thực dưỡng, Thuần chay
Đã bán 4.4k",46.900₫,Đã bán 4.4k,-37%,https://tiki.vn/bun-gao-lut-an-kieng-gufoods-giam-can-thuc-duong-eat-clean-p76045155.html?spid=76045159
"Gạo lứt ăn kiêng GUfoods (1kg) - Hỗ trợ Giảm cân - Thực dưỡng - Eat clean (có 3 lựa chọn: Lứt đỏ + Lứt đỏ xát dối + Lứt tím than)
Đã bán 4.0k",32.000₫,Đã bán 4.0k,-54%,https://tiki.vn/gao-lut-an-kieng-gufoods-1kg-ho-tro-giam-can-thuc-duong-eat-clean-co-2-lua-chon-lut-do-lut-tim-than-p75396264.html?spid=176832573
"Mật Ong Hoa Cafe Daklak TETE 1 Lít/ chai
Đã bán 5k+",88.000₫,Đã bán 5k+,-7%,https://tiki.vn/mat-ong-hoa-cafe-daklak-tete-1-lit-chai-p53086259.html?spid=53086260
