name_product,price_product,sold_product,discount_product,link_product
"Giá Đỡ Máy Tính, Laptop Chất Liệu Hợp Kim Nhôm Cao Cấp Xoay 360 Độ. Hỗ Trợ Tản Nhiệt Chống Mỏi Cổ, Vai, Gáy Model FS088 V3.1. Hàng Chính Hãng Tamayoko
Đã bán 233",526.000₫,Đã bán 233,-30%,https://tka.tiki.vn/pixel/pixel?data=Drr0xdJR3g1nVLCQht_t9hWIwAnYJcpvVWVioLfeRV_huJBnaTpRhgNR3iU7sWqeq8CJiTJjLi-l0zQSZ-Ao9VbTeSmMMiuYEgEaYqSR_VOzztOxZPOrBcKktOnT7pRKuvfGd9qeW2G8ViUGcc3fKkV-9ymvYkIHa0VnpssFWZijxJsfS_OuRZQh7_GfJ3iN6R1hvYxYi2YrL9PprRTiq5nV9FHm07UIoD_9FkpZI8WeZUvMIiP8gSAbNvcfR6SuptD2dnPbCaP1mQpTL4YlEJzjMnt-fmYTvyvqDVA49DLRnZFpGZysIurIXPJXTGUDwFCamcjgHD4s5pzMjSAtSt0xi0-Ev90Tyripwosjy8xPD9oCKEl6PuYnSM17LxSWFqssd6FlcRxKZv-Unhh4tdRacs14bH97JOUZvEVMbFJ4dR-fmP9eXuufAnGwUZa_XMBWudbC24F4BJs1U-il9NUOSH0aBGVWjtZGOZHoVq1Yi0JXfiL1FKuhPDEmAxvRhT-BVyYQUWJjUm4QW2EsqARwYv2mv6RpXpa8fuswuBfxjSxWunXdO6qnKL1TrTVQ9UZhtiCGWlh6yG9UyYoUwmedp8mn30eDQQ6bN3FPg4zbD5xNJzMNTgg1bwtJQZu_7nk3bqfbpiGPTbM3YOYAHXWJ9lEKVBp6DxusE8T9QAeVR-PGB3nCxDptVhacQzH_AafRQzDA7YrrMLqmoYr12wPonE-xyRLjcjMewi3mcl1nv59tey8y6CzJtfOXHogNea43tib4Fsjcyds0VJ2RhuQPHI-0-96p0kz2-fyO7KI1j9Sh5cNcf_M3X10Cnwi34hoWXzYTta4IeqWDW1OkLukBWoZeLiW3RnYoGEj32V65jDRIEa1FyvRbU7fGD2DqALT7JlSaXft4N-Vu9GdcpslNe7zck9cRX_o-xo8co53jHvszEOG4PJAa5ISWXiH-VL8qmEsyP7lcSo2kJLtODlvVu3S0wMU-m6emyzs9Q3JLxOgEq2e_QiH0fvlKs0FuYSXroDSXEHPQrgQeDQgr71Ap0meW0rVBHPIup9hOqLy6JKrVi0pNJpv6ortaLP9Wi87Z2gvau6fBDxWnLv1_iHa-HCtd6wM8mp_BiJ1jgWeUEf3W_s00qaqtF1TryRzZ5BQjR_RamJXTi_4zEpys8Q7mb7tzvue7-z0iJL7QFHKZEYwTe5PX0qRBXIPjeQ5m5L53EoOgFWTaY7L2zPAgzYa-i_WCDScM7wiAhf7zRfOshLSc-m880PUqjnqIwX6XsdSvRWq7iU-PRxgNFCz_VEjfrLVq2hsSlw55UJ9xiHeuA2qqkHLmtPDcARN772_uGFEv7ooK3yGWNCV5aRb9aECvtsNe3eqROILX2OFEmbxtkA&reqid=DqXPgyTpJ79ESUVc&type=CLICK&pos=1
"Dây Cáp Dù Lõi HDMI 2.1 8K 48Gbps, 4K 165Hz Dài 2M CHOETECH XHH01 Dùng Cho Tivi/ Máy Tính/ Playstation - Hàng Chính Hãng
Đã bán 2.2k",185.000₫,Đã bán 2.2k,-53%,https://tka.tiki.vn/pixel/pixel?data=Zf-HSUIKf_sAUZT6SJvDo8b2e9_OoQRkauI-MN8ekhdlX7e0XnpXz8C97s5fIqfbC1GgwzNCR3J-80iSv0wjYfiZHej66RaQXK5LTCn6-rjmXGAa1UJZaE69fxVf5PSWVTf7GHnJswQFHFqOqr_7lHKP8bYDy6aHaeLBAWlPmxVxCoes4883P_nVcS8XObFLopZh0DhJJC0YZG0Q-7EUxRZ_Hf6NzX5kqOFieiZhzi_42ykzqVB-zYgYF2fJDUxwvasWp78Xfq2YtyzO-HMbiSr5BZDsoxIm8uxb8seHzFfzc540V-kjC6rjKxY5YPOUpl2UpC9TDGXDlPI4CotK2MxPmP0SFeEeGbH5oQRoXyZHziu2HqmAjTmLD3NShbqP1gvc7R9cVh_x-uGR2yICXnVblkjEGriuOkm7IcuabkhYLHlgqXB-6Zknc0S6IV4i0C6oMmBtQnd8HpJKOUMv27HtviawsMtegsgZzVYwDzd4GkqtsTE6FZsSELTl1LUR1MuklhzeOQTPHoLGghN1QJVgjCGaAcXSGdB5hwxoZCfviaBDLe9HYVsyZencWaHN-GG6vdQpDsjI16boSLcfb0e-yKYglSDOBnRJdTxW7DW9xyKjKMcWVI_-EfC95YBJPsmvmM69jgMYstSLV2imo1DaJ6gC5dOt3p2gaHvrENDsD36PzYlO4mwf9PS0gu6xUHn9rH9FJYsWBLL1uxLVqX6wIy5z15cOE_CzQlwIIcPS4UJgrUiNOfiMcGSOqludZUx-ww2PLvIjfItZmeB2M3LDpT2ci9zfuZc9wLjQUs3aTQstKI0yALKYtZKMKTlVS-dvkVmcnOFKxYp24I96roCGND98inwe0388NeVR2Y8hO1SQntm2XQCnEANhDGfV9QK-LaFr8-LZ331zzUgQ_haYjNI__jl4c7Rrq59eF_wTG1GYUqLEqqI6fmXCiuGfUEEBIajEfx3qk-ogMyf2xKl7xrHbyjRf5O_68CF1F34A2P_XWvcseUHLZxH3IjfWby8bBmkW7UjgJvZleCAf30eLZ7kiOWaW4XuAphO0QULKTlmX6mO1nyFXwAsNfriRBATPkQAYbVOckRg3-1XW5kj447EZNtD5lWYg-Oi5KopjggixQDVjouvVLAJHIMnZobt0TM0FFEYjEmMaagUjZ-hNZwvf3iLYA__zH0q4AiO0RJRqsnSnqxi1CCQV8Z0QRyVD9WvCsnGpakmNRD7kPUzbfNJfA7Dn-XOrKM_H6mUfsTstnb6THyNY_YULiV_IR8D9zeD45Tg3RZ5uoF7_2Qc4RbgEAQ9wNdJYPv99mLVlRJXDaoi9_74WDbqRV5mkUkQ8Y_NPLu0p094yL-jg4B5aTGbTeWSND3mYskhD_NXwB226aw&reqid=DqXPgyTpJ79ESUVc&type=CLICK&pos=2
"Giá Đỡ Laptop Hợp Kim Nhôm Cao Cấp Dễ Dàng Gấp Gọn, Giúp Tản Nhiệt Laptop, Máy Tính Xách Tay - 07 Nấc Điều Chỉnh Góc Độ. Hàng Chính Hãng Tamayoko
Đã bán 1.8k",160.000₫,Đã bán 1.8k,-0%,https://tka.tiki.vn/pixel/pixel?data=RW4EVn3-k_FI9hz_H2Zl2LOwsce-mWbvVJu5J5hqfVH_irpShnBvGp-5Gp5nl2iQaZY2SZU-a8AqzDN7byo_RJMWLRPKMEv4rj-udmVeCSPL7b7OhgCTHToOFmbj4R-R7paNxB5i5mmacjXa6SO1Lb1j14NHpeXQZ3CIpLpkswXFBzgeWtLyV7f8iGQnQuOdbMOsrkK1srj7LrT0ekkfMYvvElS1cLjUVBiJDaUf01cZgsq4EcGCYyXpsfHeqR7NSD3rhJfLDyL-YwIOqFNzVXRogaX9HHNJB4avbEiqXnENph3wyxafc1bnHDk0sIQnmhLD48MDZGW8M4n74PgWlFW3MHLSZMmaodJF7uDdpANKPpErExHD7T-nBiGo3cavLZwyKVMq2CtAdLkpZSm2DynA1Mp0ZuNB9ryBv75jqH8sib_YdQi4nFcLUUkMRs4vwEegPh8Ht2lU9kN-GmFAZc_YE40feJNgxOaWkP0MtnoqbwTcyaDLJZm1HjY3BjONM80K1Jbl6mrUeaxX9slRpH3etW_7hd2ewS5yw5g2dnGIoYJ5gp6p3PwCJZ1SpucGf7k5KubEmbpstnqxON4GNiPi6PZgUw9R3wjxyU17oEKuACarMWV_v988TkQrgyCXj9fed9mHUvlidBJJ87_ekYYcnfcgpJ3OE8dmeXCG5aW1HunGXhULNx4j_QYxbUshkAn0fNxNu9TZk_3aAVuGxqNyR-R6jHy_Ls2PLJKsqyWNrZ7VS9rKZReW1PYcs9xJCiQVWmHmiOdBawnIj4DEETREwGNtB-PrGzZQXfzdrQeaVYXxFpRp4xkTtcohDhgCibeFe0o-f72MPuNlRG32Tz668DpxssuOorfjHOD8p-GtNo9Bkkj9-A6chVe4_gpGxAwd03_jVmRc9rFGsNdKO5XzZS3OI5jd9ShWCsS1dEoVMfMRyFGtlvgBTY68MClvhThV4MEGCZuE402Z2MrBY1pw02ggdlSgbEO5VEsTO7tvV2ijMmTVIB0kn9j3sENadbgRoFUjgUaPnGZWh9tYW7wezo3IC7IT5JIIEaeKFLMdXpOhzjQg_dz_06_hE6DcJJ9YY9O8X3U3ZZemqZWyZdjZhHdYMLbIdppLtpFHQxwbal6nnupahtcB3Egd_hrR3wmqT1uOHLLFQOG04mWT1A9egOr9KSLr-MAZO5096VEhxYAJSvqIUckQj5fBUqZ-2dKTy5gjj9P6NYH026WM45M3fqTV4xICulsPNtABhLTPIpUeTd28AB3nSR4mOoBog2gnV9R7BlL8fp67y7MoIQrh8bOeDCwpHv1YzxheF_WMHLW10CvbW7lb14G0KFdWr_QSEKqw3JFIDIhigB1zzMdiALGv5bueDG0hw3-xvKKbtO8WjECFbbyysnZ3_Ylky-LtuId1Sq89OdP6Usne0XttAt4e&reqid=DqXPgyTpJ79ESUVc&type=CLICK&pos=3
"Giá Đỡ Máy Tính, Laptop, iPad, Macbook Hợp Kim Nhôm Cao Cấp. Hỗ Trợ Tản Nhiệt Chống Mỏi Cổ, Vai, Gáy. Hàng Chính Hãng Tamayoko
Đã bán 871",399.000₫,Đã bán 871,-20%,https://tka.tiki.vn/pixel/pixel?data=9r3C_hkzaIxAcKt_qMo1PY77kTK_8fYD5cS6dSdIjdjtd5YZ2LbnHbLuECdBKEFWTjc2M2Gh3yujboGnfQdYjl1AmVMauZnHyHEvywxuGd07UVw9QCh6MxgBwUkslnYUc2VXvg9DZNeN4QXBF9QslckfM_Kp0_7gY-McghGxVWDz8xvLebm_vCa2zC0jL10MBjKg_szAC5CzqxLfQn2gvQf45HvO57SRM5AVCBHBPgvuEuTHQgkjhF32qqSBQsx-iGf_BmYyhAp2Z8f78n5wpunuzpW_5Ly_jA3CwF_y9eHcV6VaTAri4jboMeMktBBpY-yK0UFSvB6uBA4OtMknCUYi8DtHH9aFwJ2oIYGV9N-wfqqpFJI0s9OHWqqNk6TQxMc84nrIR2yy-M3NJiKuKIwYuHUCaaHEPwog495Zg58tjguaClP70fJX4HjLSJTZg-wV0cccYl-xB9eudnfL_zHP1Xpobp7FUtD0BtCMJC3zeUU9oY_YHQBkguVfJ2IdTtnuyUEXzTtUX8M543KOeudbwvgS8bH35GivZmbTV1oyH4YOEMUL2bckKYWtviPA7UG_YkLcK8ZMS3NNovqougUAVvx64rZ16djsuVYEGfO3ONPI8sQDoiqQDoyV6P0vByOWdSl9nNJV33I79kRbwDHzXz7YzGGvPNVlcj9bKCdBoGCPdEkRoE8PdGw049CqXmj_U2kEArr2T2diiMeftVtzHTlkV6gs49gOgR58HN2TMhLzyXBTDJdGlVtemvxtCUiC5kKAJSzVw3atf14SUrohoxYl0pioQGhzmFez1zhCNf8OsTrPpk-VbI-oQ2FrsItYTtxKRv8q3SXkMpGZ87l3SSOhrhvXceZ00wiTUNJC2h2L7kUiV-8JUSLbF0hUKQKx8yy0__RKqTXwBfdWsn2geddbgSnnwkyjYrN_qBSv3RupbEjlR7PKOFJ5DR_cRQMZ1aSs7K9c_vec0IzYN2VggXAYOZkseexH_OuLgt4JNP7iXuUMQ0adjLvYkaDU7-5Gq6aZ-gq7evAJfRM0xBRcDdw7GX5nflFmiY7eR30-nllFhWhMVG3KBOgadPJFFpYcqTlCEkz4zk_Jt8wgCVaFoVuOADYOZ1b8KPJftnxcQ0Sso8lYAPj6uU-QcJzgTJrNYj3pgUXWT4GEfakub2ufljDkOxFSn8Zvgw0VXldtEl4-Q-DYorGtdOFsLpSbX24BeLIYQ4YofiRIp8F67c3Kx5uxTpMK5TzVBYNQYo5cEF52lvkTytGyOb0zsa-Wk9iXa2zpEVOsatk4K0F8jnJbvsxnBgKsjTYfwl1_t6LeqwNia8R8n6ZTJmjHs7X52XN_O5sFbQbihbF1nY2_Tbo1UjJug5VsJsldJvMri2o&reqid=DqXPgyTpJ79ESUVc&type=CLICK&pos=4
"Giá đỡ máy tính, macbook, laptop giúp tản nhiệt có thể mang đi tiện lợi -Funu Home
Đã bán 325",128.250₫,Đã bán 325,-5%,https://tka.tiki.vn/pixel/pixel?data=wpQIl1mTXHgVK4JRU461ECTAjmeOpYMpn8bgv6m5Rxfqh8DusbBqHGvvVjz9SH2uf7QRjMJxgozqn_UwtX0s949xB4q8sj8_OLH_wGg2PabTIW5Qr9V6vTWlCH8svOyf6b_rEa35Zx9jriFD6dBUL2DORFtzD4j3TeLUGZtDXt6-q0Sfl82KSj8ybL2SSSU-U0aBDgbClDzFOZa02GreLI9EYGxLXlhtBT0d85EueHwweMr29mVA-ePOTJJDxykzOD_irBJ3EH2XkDVeonVpb4aj4dyVVVeOFR4ztJtF1Y5aq5vnGDrD63HtBvM0YtpEHFEnpraBGLd1GZCEAztbC-h4gpXI7BJLVCKnEFDatR7jaOJDU94Gq3pycWvkESj0fkSrcZ6i7wAALm4qWa6mA3GDE__UYF_dux-tZjx4Ky8-2OPVluReW7G_2eXaBPojXLrBKZAnKm2EwarFqa9nQimTAy9VfKgtNR3O1KIHczOYO8DRH6QIyk3cK2Tro3d7OWM7XQcZbHzFoEB9R3XX0mlfC_6NXqfFv7N79jdQzabHkhrN46GLdZ9mSzmE3MldV7h6UgHYEllvqlE1LvJsa1663GODffMkndxZ_o3_gqWgj6HBQ6qW3WtBCL9VlGpxmJadVNwqKMczPMT96r5XW9y4QrVgo8GgAr7WMYmyXJqgGDrvg8GLkxlQ6Iv8GBJxI-BdAC0gB6fz9uLAR9PU_uoUkjADaI_3vm0EUQIpO6kfFWnZzV1boUeAL17Wwqv6UICnACHtH9n3LU-3rPvwaejxYW34KqDeiqWD98V3DgbIpo2EB7LIC_R2Sk-hqnkxqD8wDiYQh9xvB83aOp5t5coJLd8yfRg3zGoZEM3sLTmTP7BrvI1CCBRjNDsANdGENV46M9sXQ9TxECRNgMK1UCepTlkV9-MgryRVLdKFDSkSUa4l3sJ-INpyJ03tSr-yPJarKteR6nKs5mp9StrZyjWWIwFP8fjQX2FQ4_b_mzzjnOqtn04oey_IFHkLTZk-CUZhOWDogYOSypk8gUJ7YMRVY_inxjbgGMIayl2IKIWaaApYmSK7E2cJd5jPDKICMS2OK7RIhOFB4bESAqe1ohTWtDV7hO74WlRuuYFhSgaTRV0h1KeIGQ3S5VTXztYGpuqlDCscpIwsMTA3KcS0_x8rK9z7ZWJR8Zip-0Mgz4awcm5rFODnfnwG_Rw05GCipE6wJWNhvmcQDmJdSeS4fyMFgU_Uvi0WO32kVbm9I7stBxAjltXNebAM5YAJCFxpOVW3eoWYE0JFOtZvjW95yfJfyo7ePotDB_1Qocdtw9ueQwP7iNsQhj3-GaVALIBLyYLpGg&reqid=DqXPgyTpJ79ESUVc&type=CLICK&pos=5
"HUB Type C và HUB USB 3.0 tốc độ cao 4 in 1 Sidotech bộ chia cổng usb mở rộng kết nối chuyển đổi cho Macbook Pro Laptop PC máy tính hỗ trợ sạc pin kết nối đa năng ổ cứng bàn phím chuột máy in, thiết bị ổ chia usb - Hàng chính hãng
Đã bán 2.6k",133.000₫,Đã bán 2.6k,-0%,https://tiki.vn/hub-type-c-va-hub-usb-3-0-toc-do-cao-4-in-1-sidotech-bo-chia-cong-usb-mo-rong-ket-noi-chuyen-doi-cho-macbook-pro-laptop-pc-may-tinh-ho-tro-sac-pin-ket-noi-da-nang-o-cung-ban-phim-chuot-may-in-thiet-bi-o-chia-usb-hang-chinh-hang-p143957287.html?spid=143957291
"Miếng Lót Chuột Kai Hình Chữ Nhật Siêu Dễ thương Nhiều Mẫu Mới
Đã bán 2.1k",25.000₫,Đã bán 2.1k,-13%,https://tiki.vn/mieng-lot-chuot-kai-hinh-chu-nhat-sieu-de-thuong-nhieu-mau-moi-hang-chinh-hang-p146266186.html?spid=146266242
"Giá Đỡ Laptop Hợp Kim Nhôm Cao Cấp Có Thể Gấp Gọn, Giúp Tản Nhiệt Laptop, Macbook, Máy Tính Xách Tay. 07 Vị Trí Điều Chỉnh Góc Độ. Hàng Chính Hãng Tamayoko FS060
Đã bán 192",194.000₫,Đã bán 192,-25%,https://tiki.vn/gia-do-laptop-hop-kim-nhom-cao-cap-co-the-gap-gon-giup-tan-nhiet-laptop-macbook-may-tinh-xach-tay-07-vi-tri-dieu-chinh-goc-do-hang-chinh-hang-tamayoko-fs060-p72796676.html?spid=108209728
"Lót chuột máy tính PixLink kích thước 22x18cm hàng chính hãng
Đã bán 1.9k",25.000₫,Đã bán 1.9k,-36%,https://tiki.vn/lot-chuot-may-tinh-pixlink-kich-thuoc-22x18cm-p174593826.html?spid=174593829
"Chuột Không Dây Logitech M221
Đã bán 723",229.000₫,Đã bán 723,-0%,https://tiki.vn/chuot-khong-day-logitech-m221-hang-chinh-hang-p299431.html?spid=101358141
