name_product,price_product,sold_product,discount_product,link_product
"Sách phát triển bản thân tiếng Anh: Think Like A Freak
Đã bán 1",265.000₫,Đã bán 1,-0%,https://tka.tiki.vn/pixel/pixel?data=dWHDcLL5giN2HRPzJMrcGEAxi6Y7Mfp6-0QBnfkOmaCY4nk014lTNSVtsMOJzdHYfmdCP5-Q2r2EoFTxDi7BCLgRoKWz2d1zF-XWuqpYE7Z3xcnmTYgmCo29-CTwIVM2EdP8SER8VKN1bxGAuj20wnaT9GbKc4s84YRfUZ6WdbeB00eMTQGu1NJNfTrN0maELs_7ljy7NoVUPFFXkDPnVHjfU8fp6Roog3dJfuzRs0LLbSEcFC2XLIQUyceJFmCEDO0VmYOLZA5FA1u5TPOl6nNdXF70a9D6XqdYTKlikZyfFaMWC5wGdu9Ogk5sx9jLcOw57WrokY1fV1Ll0lmA4xuq6Pu25LVEhBwvaCwf0OXHzLWB67NdUcP7-IO-aRFWVaZzo3k1BoDvAOKBa59VM5C9sdvK-mkSjcgWjEGQ0yRbdCgv_yKCWTmppkJ9QLcGZ9TEi92We-4JHTUQz8mWWMvkiHYN7INTysBiqeuhf-ZF393nxU3SlL6LcZgUB4LKyXglEFclGzhx8OAjXjIXNPDcdCz1dOFgpPMdqCmI4gL6GPqdkNo_xeWnMDiran6jUH-CyPiFdhAYpL9C01JlabK92BuWyMpqiAzPu_-x7-YlOrOArqD4zswR2rNiITHtIvEMEz4Wthiq7YqFMeno1dJrodPqUcAWjRuhIjANpyNKHZaA4iYqA5xgoDhWYzfOO2x9B0Z9QiGaJtJjCEQ0zG0p1MQx5-eKWEPBFeGBf0rCxoaaVPSW55UqrYqhaarR0Cnm5Nk2ViCr59lAUgyFPETPJAclbVAxiP4FR9NpXKwOTj0K1nIaK7oi2ndbJSZqE-elG5Zcl1Uek5unNC3LSJWN2rRKtgt6xOAZyzq8J9A8WySpf5EmCHV_D37A5bjQP7TUs3mfpXQ6T4PzDJEQKjZ5vHqJHcrO5sEkrwcYBb0hGTr9PgG_NR7LMAPfeuGVKAepHAX6XVGyrYky3oAWcIeaXl8infi29Xz6Z31jBnKyGNXVWZ4ipEDUPCB9nLCEOMjt-1Ky4FcaBsKDTmk-PbKHAyHyOa8lgeK1WnFCSL6nwvGdZqPygxbfgWWOFZRyucwfzel0BSjorfoSF-7zB_BpifeFRh_n8klG8-C2J6jmZUKOysYFWgsJBlgGIt9kC-CIl8EU8nYP5cOakWIEKLBQJvqL2uhmbDZmRqV0SZJlNyS-xKZwoDvLvudkmY1-C9NmQnYheft6mvyJGVmO1qbiE7Ubqoss44ozskj_6_zrelIwSY6rjHi9Wnh2Yy22y3MB6D4SPyklwi1pM0_kSEE7X7D10Z4kRvvXuw3aBscVhPTfozCsVBMJu2epVCom2ZR2XeDgJeM0cpHa0oI6bSmOo2hzRPyjs1VOqmqkCt8pQJUeQu4XCoR4F6MOqw3nqpr0L36hxlJyT0ukiTchW737khEpk7_RfnLLKrFluwTdxrzmC13gmukhHJMV&reqid=TL4oQ4VsuaCuhhLr&type=CLICK&pos=1
"Sách ngoại văn - Fashion, New Edition: The Definitive Visual Guide",1.199.000₫,,-25%,https://tka.tiki.vn/pixel/pixel?data=F4p8uaU_t3JE52e7ItuiIsDtT_0rOtEhiC8tQ9Nxn_DDFVbFuQJ6uGlJaOv3MICF_sqcxSVcYK4I2l1jAO18MvunO5pTazLZTRv7jOKv7ySoZcs-z_eJFmadXRGKdiTj8FBScLGYMBTJqGa5Z7JdqClBy6LRzEBO1fZLUQfEWh_DQgjouc5gFZAOdDGBArqCwcA2QyLJ_fX3OsCabINs6BFkgxiEEHgzpSrpq-r73URlMPrB7JogGJ331voB6Afl867Mx3pHHOg84GHuPm-EC63sazyzNaxxlrOsI36JuueFTBjtTKgaQ4LGOUMNOVYD_RZW5tjepR2ANRYyl8XssS6CybycpV_pq2n8SAPRH_8CgzA2WuoIAx3j1hXkgTnnPTZhkSlv5d4CifuIqLiEsLqalK6BoN8wSIpR1xB9bhbUVkhjk_YHVtCUy6Eyc71O-Csw-QGriOujGcpDIuAFduVY50TniyLeNFr4wlS2XZoUyXyHmOWpT0Qj2W0_PNd3jDWp0H3fVamJ0CuT6nPaJSZL45LKY6otXbxlV7NVMnIblXaO1_iD87VYCZKEHUYVQbEzpBSZkJ1SNtDMzPMtZxBtAywuu6gxkLsPjJxc7WUHCsJjW4e03xEDSkPZacE9bZCofih5u3tpCvdQ4TQ75hTKF7lc0reVRj_NuDmTmsxznGjfU3moQ5nfI1VmR_wbbuYu1YpwzDH-cqT5GE0PFFYWrk9iLwXt9T6OFtsiAZ4cbRv5znJknJC8Swnz0wnPLhF13XAbCVkc7JCPFks0r5LTba_hsBvauAoYX3Q9by7u35JxgnfAirjvlAUVz33o-3Vqcs74mkAXXbgf8bPemhGRVyi0BFfJC-4ntQ7ooYMTEZoQxuyy3YQMmNwzf2jo7CDpdRkFoWY-X-DnaXL6c-MKtbdyeC-qjw1oZ_0cwWPSuEFJZnD_tYrAVaghyqU5PzG6Ytel6GQO7Y-Tv_rjq0C-dWNHqp6YB2ScG_yKOVwsuTvonJrjaovl0S6FIzT4NrFRZ8v3qINJfHeb30nz06hAWutUW8d1XtqD1cVAMWPzkb2Xl03oS6s4iEgB3beHURG7Q3bc-Lhu1kTpybCt5te_7IeLIfB4Sxde82lqjlo4taGzr27teigdD2w4Toiltsi9-6KIxVQS_dKD9dhghxlRoqQrAy9iL-f_kLwSkag4L2pu6aGmPpnStk_frr83GMKKpC5KGvUnACa1qIRuVEoUfXhJDTniL713VZn9DA7RLTiottMWgIuyBVB-w3vaACSNydoumKiPP2_n8qS2RYHA_2tTu-HuIE4FXjHXoU8BGQobbwSgeZtua18zy2RttWQjppjIXCPNPumuOd40ld9IaZe0eR0uTkZLozV-FkPXLIybLJnQpNUZWR1AcBkQrE3oUfuOzjDaf0B7CT85Yq6R3R1c4iuis2fAYUmbVNEnIaQ6yJUrzzfmwiW8H0xy_1s2TmQgvptekyk&reqid=TL4oQ4VsuaCuhhLr&type=CLICK&pos=2
"Truyện thiếu nhi tiếng Anh - Usborne 10 Ten-Minute Bedtime Stories
Đã bán 4",613.000₫,Đã bán 4,-0%,https://tka.tiki.vn/pixel/pixel?data=-vt2gjJym8H3izCgwtGLd9_WBJBMumXZ4QNC935r_uLgOuTRllp5tqGJYZ2Et8FG7MyY1uedvXbtVTQhbEyG25UEgtMa23RyuLLzxwU1hqr4fdCzaGeD5RA-od-dd20tY0AoxABxxkoQAgdvnxkbdyYyqzvLXlzsEJCVUbwwt8H8ekb5bcI3A2E2bIt2ZWHaDuYjEGqir7xoeiQCiHXwA6T4ONAfxEqcnnkBdR549IumEhUc2zc-1v_giFMxFwIjidNA49hf3NxYefHYogiKYPzn6NsCSi0bXLOdN7qDUoTpQJME0RtXKnxtb4TbvujCq7jTenPiOBWN-WpL3L5SPXTE8BixPtQQegF5V0WTObk2V3hqh-53fSB3HPNwEjGfWyE42RL_VDHxa6E0HE1EKaUfVou2_KNaexm1RHKkfvwVSm2KMFCFoWt9MeH1iM1Phl8eA36Jbu7nWVlg1geCthYvhPZXEAQ6ZSwFTjW5wJtHtoykilJZXaA8k2VHnb65Ffg33qBaKD4fsiRdhUpSsib3LbB9uzAuPzFrf9s97tMNA4czO_tbCZQ3MDu6b44W3f5XQjAx6Wu_7AulcDHjV9Vu356SJtO7hLsYmfZZ7ZxFtr0ZFumQVeb4njrJs4_ytMXlvG24CqD_nZSVgR4dA4lrxEceG8Dxn5M2FR205ugX2xW9ab_rh2inVsOTKLNoB0t94TL-RJchj25bXMS2u6X_A6TeIQg3QFl-xp5tDVbUbUoCiDSThNktkEMmE4TIcImR0Y2ZD0ObzD7R7lWa7NpioUI19H1iloeJ8w-cuKRuY9KDE4XHitQgBiqGQtbFALUqdFiicJd-EMhPbly1eep-qNvtbvWsEAY5HfQY_kAmrDgpBlMllFeOJlKd_AUKLzLzV8CMl3p8GzsgZi7P0VuqmRXaejNfdGwQArSTUiwvpm3m11zlMYpmrfbpRD1vSE8jnslRtuWJaICnWX9F6ckmUIdJzfwPJyT2nbBfH_C6mgb6Ro1o4Z4TXG3uchoastPzjoSro5xE-_1FiIWNNMO4_jgC4qhAFiRH7oOdGOl600TVgtbUmnsN_3_Duni3sxe3KEp01cSHcmXtsclQVROl6DrE9aGapnW3TTs0e2vD_RYQAwoOtMzPVVrTjO2DpV0or_gQByXSgQX-JTgXlCbmCy4slcY-LqXOUbG_N_fVEgMaqjT1jJS0aFPfYhvjAxrFXOi7-EtxKngAFC2-IpyXZmWHaqDxnRzPJNl2gRo1ZxwZ2Oiqc8dr06Cd5i_PMSGPv1EKqbZGGkUFreHSUOieYukHWRYr9UwjCGr3gUuekthYr0rS7Q1BvzINXnNZVG8l9yskRUOXzh4OjAYiQZ7UYbYM2jeNJTJjVbc_c-BWCy3_CQunQnRiOVU2cq0PAYxIWzihyzC72yUEEwmMaHB-JQXEVWJSUiwpd1RNBtcFfo3nfvP4b9bNkSBg7N0Lmce3NNP62fAdl5m3BK8&reqid=TL4oQ4VsuaCuhhLr&type=CLICK&pos=3
"Tiểu sử tiếng Anh: Educated
Đã bán 10",502.000₫,Đã bán 10,-0%,https://tka.tiki.vn/pixel/pixel?data=L9SBP2KkuJF_rbg3M6KTyhLXSUWu5-C8BHFFIUhGLyM9YeB7OFkXzAJ11LhPVEwZ3wjENue9o8Va2uM8rZwCReFuTDZn8EAm24L472g5vcip4GPYfX1OJHvgUMGrPI9CYH2WM7We8ZjzxWspsiyJTbGLqv4OARZHQkwp9ei0fbtBHY4aPo82NJh7HXMICMcm_ayKWEbf9J9orH203A5RhVU_rrkPWfkEpfdoRXdvAAGOgiFOvCL2rslQMC2zbpk82Ek1Ir0ezgwsYHl7h3ucghkUS1fQ7cdecdTthpJ5U_z44Hlgm84C0oR7qOjhBZ3btMe_kGiwaoktp_LFUldyUQQgUxkx4oQHzxhWE8_hvukLGzIe5CZl6-r3QJ1RZsgcYTfjUGLGHiJ5NJay2ZsN8K3qQrbzSe5WaTHT5K-mOUgjwgwmUsBtdb01mdM3Rgk5XrUf90WD7OkQCFE3pP3YUJuPVTm-49AHIJCO26xvS3QFuKSXIV2YSNj1xeOefP5Z7YuivLu3fiCneXf_oBdcn1_27bGxKNX1iMV3y7jwqz46y-AaSD_LmtgOEcOcFKlO-vLHpQ7V_6fOcOGcneRKN01Efymv2et7JY9u7eFkzNfaw6eBrwKK4rBdYjmLo6jm15dTWsmuNwLZqq2L3S-ptr_4CJdQTgIWfpJdXRu-Ksfc0OvwsE8nVTpGSn5cdxNwRpwVDED_bwYlXDT9HMObsmqWEWcqWy95sJczCxM8znc4u_kFhd3mF0OL5EN9olOpS22QbU5r-y-lC2fLVx3HHtT0TBwX0_k9WEtSUSG_iNFDQ_0A9GnERM1Kbz2W8yV_oGq2twlWgBRgTxwujZpewXfwQRQ6Ww4fK-3u7XPqjiFVp773p8TY7vYV10GrNp-Sg8VuBOdUsAAU6YijE4WfrP1O7riVmtIsD2MbwnWSKyW0pShZxrspdcJcs32HLPK7uz_JMqANrDnKtm5cyrDLWOlqEYalGF_2ls_JxCGillsi6xBEtSvhFo2qyssk5lfFgoE3CxKkKgyV0Y8rAOYWXU9Wfu0Sg7SbEReQ81h8UWgAaDTextmCbDqG1MJctGRKDKblGW28rWOYAL6op2FC27c7kdke5PMvooxAJTYc-OvZJHbLqJL7OzzcEGGxF-uCt3_Gw6iXu6MFrhCtiltSjZFjYtOx4fdGCHpMC2cegIFhApPSvcKhkikqD7giwvZmLrEsSeKc31VwqNwdnXLwZN9PXshzGtvTBO8YSXWwqz_2RKfRoJHebxq8Yaf9KBzJimsJY_8e4VX3gNbBYfW6U1viihPk1AJOiyv9bLQb1Y7vDMCaYQll68Aea69M_KUZBI2loi0cZu2M7FTw4DtVlQIigLCzGo9KXSDNrdSiAN4n1ZQElsXEl-bE_7yIL3BfS9xZWX8DESuz9aNC96xKdUOv&reqid=TL4oQ4VsuaCuhhLr&type=CLICK&pos=4
"Sách - Kiểm Chứng Ý Tưởng Kinh Doanh - Testing Business Ideas
Đã bán 5",224.000₫,Đã bán 5,-25%,https://tka.tiki.vn/pixel/pixel?data=ZJ6IOQr1_QTDi44u9Lxsw1PfX2Niuho6WXs61sHf-3t0g-QxTLQ3abvkzCWzVHBKZgFgok8NceC6cCD_L5wvb2XQQmt_X1lumxy4YMFDlIVYyUcZeZU_x9J0vL49x82VN2hic05XLp9Qk578K9oQVe_rIjYYENUXhes5aN0dxwEyiVLdJiNvaUFy2yeX-K83qfhGM0brYCbLXfI3AIUgExgyhzu4hi94cVcQAzbbspWJM9FuEBmRtFAse4vaFDxN0G3FUgVKnXKJiygwcNZFHQn6Zuhzoauvgku8tKEmxnndf6SOQ5wue43c1jgGGx09_jEJVH978cP0se8KUe3XG-vFEUGeq3hdlf6XJghQrVmj4cogXsAP5oUAztN0J1Gbh-9yEb2cYXtuXCUEPUEqXfEssM8u8Eo21Yqipw8dat9BOad9LfGWASBPd0hTZkbKzG2yp6cjM3S4bcy03BjsaFP8ixIaPdMkRjJz2_xG6DRrIEzATD5MWMfFuMh5lcIc2iz4Dwiywnn8yd5GMa7E73QUpIAitOaQsq0Q9s-Wq-x6AiKujWzm8kRPwUU_78PphjuXLvPd43sCgjW36iqqgBGBuRt4jKVvFVm-87EgPV--Q-fAfnttk7kFQxjitplC8ps0jtGZW4MXpIdjSb_gv173uY4hNc6xPBFBjH34xY81xvq-UgfGcOmDXA7ZYaIENL7DUNZn2LheZkoUs_YHJeR_7vaxnErW7BwkJL9LPv-Jy6Z5de_WBd6gNH6QxZFYub259C2-bq4GF_M2j9Ng72FeQje7qBk4aHleGJHjgVP1IFXPMdwTmylTq_Giz_ZuzMzGhIHnh03Bpc7FRB9Y9e700ZEHHNz0Xs45S06z0w5CEOxgBfU1hRjH93MAKGqHsML1d9bI1DtCBcI7zupgRjqC0CizRWvraoQRnPCka1atIb_QHMts1ef2aMX3GgEs3WbfFslegv3WVNTEPNCfi8nox9IK0y2ceLo2EZGBgM_fJ4lc4WBeUH3QhEAlzE6yrYWqiPdy3oDswaX6M7Lm5AIXOPI3LvsQja4G79fv8J_Huv1e0zl6NLaawsNZvUWMJT7riY00_I7tD44ZtBiXO6FxsnMVETp4qeZG9UBlz1qYfq6v1WeVMo2olOFPHSdq9NFNuD6biDW3751B1uKZugCpZvHG9U7YHjT59WntmGl_jsa16RGduOTbEGj6E7kmFs5C8jwFbzEnX-XrEku4xfktMT0QLgM92ldG7ZxSnnfla8Pm-5VGKXMyFtQjsB5VnnVoa7aJJ5kDmdUdfh3grbkTTxfkNsyRLj6kKVKwSW05i4CwgrAn9Hx_gQ6t5uv1kz24eOCDEhQnPnQgNtO02F5ixWA4IK-TLiYdnJlBdm7lkPEqo6DG7XpZlWJ6XZgIRP2dECbYecBSk371n4-_IH2awq0bFNQFvc24z-pd_h5N0PXgQxECMdirADte_gNZD-qGb9mlk8PZ&reqid=TL4oQ4VsuaCuhhLr&type=CLICK&pos=5
"English Grammar in Use Book w Ans
Đã bán 5k+",177.900₫,Đã bán 5k+,-0%,https://tiki.vn/english-grammar-in-use-book-w-ans-p22881852.html?spid=22881853
"The Subtle Art of Not Giving a F*Ck : A Counterintuitive Approach to Living a Good Life
Đã bán 1.7k",238.300₫,Đã bán 1.7k,-10%,https://tiki.vn/the-subtle-art-of-not-giving-a-f-ck-a-counterintuitive-approach-to-living-a-good-life-p706939.html?spid=21224801
"Oxford Advanced Learner's Dictionary : Paperback - 10th Edition (With 1 Year's Access To Both Premium Online And App)
Đã bán 2.3k",561.600₫,Đã bán 2.3k,-0%,https://tiki.vn/oxford-advanced-learner-s-dictionary-paperback-10th-edition-with-1-year-s-access-to-both-premium-online-and-app-p49181801.html?spid=49181802
"Essential Grammar in Use Book with Answers Edition: A Self-Study Reference and Practice Book for Elementary Learners of English
Đã bán 3.1k",177.900₫,Đã bán 3.1k,-0%,https://tiki.vn/essential-grammar-in-use-book-with-answers-edition-a-self-study-reference-and-practice-book-for-elementary-learners-of-english-p22878271.html?spid=22878272
"English Vocabulary in Use: Pre-Intermediate and Intermediate Book with Answers: Vocabulary Reference and Practice (Kèm CD)
Đã bán 2.0k",175.700₫,Đã bán 2.0k,-9%,https://tiki.vn/english-vocabulary-in-use-pre-intermediate-and-intermediate-book-with-answers-vocabulary-reference-and-practice-kem-cd-p23437685.html?spid=23437686
